id,status_of_project,label,planning_approval_street_no,planning_approval_street_name,zip,section_415_declaration_of_intent,section_415_declaration_label,tenure,total_units_in_building_or_phase,final_bmr_on_site,final_bmr_off_site,off_site_units_at_this_site,total_bmr_s_in_this_building_or_phase,principal_project_address,off_site_address,lottery_date,entitlement_yr,building_completion_calendar_year,description,latitude,longitude,location_address,location_city,location_state,location_zip
250,Entitled,300 - 314 Randolph Street,300 - 314,Randolph Street,94132,ON,On-Site BMR Project,Unknown,18,2,0,0,2,,,,2007,,"300 Randolph Street, San Francisco, CA 94132",37.71430773,-122.4655693,300 Randolph Street,San Francisco,CA,94132
164,Completed,8 Landers,8,Landers Street,94114,ON,On-Site BMR Project,Ownership,14,1,0,0,1,,,39304,2003,2006,"8 Landers Street, San Francisco, CA 94114",37.76754776,-122.4278735,8 Landers Street,San Francisco,CA,94114
103,Entitled,923 Folsom,923,Folsom Street,94107,ON,On-Site BMR Project,Ownership,114,14,0,0,14,,,,2014,,"923 Folsom Street, San Francisco, CA 94107",37.7799878,-122.4037113,923 Folsom Street,San Francisco,CA,94107
265,Completed,550 South Van Ness Ave,550,South Van Ness Avenue,94110,ON,On-Site BMR Project,Ownership,36,8,0,0,8,,,,1989,1992,"550 South Van Ness Avenue, San Francisco, CA 94110",37.76436746,-122.4174535,550 South Van Ness Avenue,San Francisco,CA,94110
220,Completed,574 Natoma Street,574,Natoma Street,94103,ON,On-Site BMR Project,Ownership,11,2,0,0,2,,,41066,2011,2012,"574 Natoma Street, San Francisco, CA 94103",37.7789035,-122.4093287,574 Natoma Street,San Francisco,CA,94103
242,Completed,Tower Plaza,600,Portola,94127,ON,On-Site BMR Project,Rental,15,2,0,0,2,,,,2000,2003,"600 Portola, San Francisco, CA 94127",37.74542626,-122.4521625,600 Portola,San Francisco,CA,94127
73,Completed,1630 California,1630,California Street,94109,FEE,Fee BMR Project,Ownership,40,0,0,0,0,,,,2002,2008,"1630 California Street, San Francisco, CA 94109",37.79053042,-122.4212145,1630 California Street,San Francisco,CA,94109
266,Completed,140 South Van Ness,140,South Van Ness Avenue,94103,ON,On-Site BMR Project,Ownership,223,23,0,0,23,,,37639,1999,2003,"140 South Van Ness Avenue, San Francisco, CA 94103",37.77161993,-122.4181909,140 South Van Ness Avenue,San Francisco,CA,94103
179,Entitled,"Trinity Plaza Apartments, Phase IV",1167,Market Street,94103,ON,On-Site BMR Project,Rental,493,74,0,0,74,,,,2006,,"1167 Market Street, San Francisco, CA 94103",37.77922755,-122.4140445,1167 Market Street,San Francisco,CA,94103
239,BP Issued,101 Polk Street,101,Polk Street,94102,ON,On-Site BMR Project,Rental,162,19,0,0,19,,,,2013,,"101 Polk Street, San Francisco, CA 94102",37.77776389,-122.4181137,101 Polk Street,San Francisco,CA,94102
54,Completed,388 Beale,388,Beale Street,94105,ON,On-Site BMR Project,Rental,23,23,0,0,23,,,,1997,2003,"388 Beale Street, San Francisco, CA 94105",37.78781755,-122.3916677,388 Beale Street,San Francisco,CA,94105
158,Entitled,570 Jessie Street,570,Jessie Street,94103,ON,On-Site BMR Project,Ownership,47,6,0,0,6,,,,2008,,"570 Jessie Street, San Francisco, CA 94103",37.78086353,-122.4099475,570 Jessie Street,San Francisco,CA,94103
72,Completed,2525 California,2525,California Street,94115,FEE,Fee BMR Project,Unknown,16,0,0,0,0,,,,2003,2007,"2525 California Street, San Francisco, CA 94115",37.78861378,-122.4360559,2525 California Street,San Francisco,CA,94115
257,Completed,1301 San Jose/Glen Court,1301,San Jose Avenue  (aka Bosworth or Milton),94112,ON,On-Site BMR Project,Ownership,31,3,0,0,3,,,,1996,2003,"1301 San Jose Ave., San Francisco, CA 94112",37.73427115,-122.4296263,1301 San Jose Ave,San Francisco,CA,94112
260,Entitled,233 Shipley,233-237,Shipley Street,94107,FEE,Fee BMR Project,Unknown,21,0,0,0,0,,,,2014,,"233 Shipley Street, San Francisco, CA 94107",37.77923766,-122.4035408,233 Shipley Street,San Francisco,CA,94107
57,Completed,39 Boardman Place,39-43,Boardman Place,94103,ON,On-Site BMR Project,Ownership,14,1,0,0,1,,,,1995,1996,"39 Boardman Place, San Francisco, CA 94103",37.77467462,-122.4029416,39 Boardman Place,San Francisco,CA,94103
124,Completed,888 Paris,965-985,Geneva Avenue,94112,ON,On-Site BMR Project,Rental,67,8,0,0,8,,,,2003,2004,"965 Geneva Avenue, San Francisco, CA 94112",37.71581607,-122.4396671,965 Geneva Avenue,San Francisco,CA,94112
296,Completed,2655 Van Ness Avenue,2655,Van Ness Avenue,94109,FEE,Fee BMR Project,Ownership,29,0,0,0,0,,,,2004,2007,"2655 Van Ness Avenue, San Francisco, CA 94109",37.80000524,-122.4243729,2655 Van Ness Avenue,San Francisco,CA,94109
102,Entitled,1140 Folsom,1140,Folsom Street,94103,ON,On-Site BMR Project,Ownership,112,13,0,0,13,,,,2014,,"1140 Folsom Street, San Francisco, CA 94103",37.77606428,-122.4087676,1140 Folsom Street,San Francisco,CA,94103
173,Completed,1130 Mariposa,1130,Mariposa Street,94107,ON,On-Site BMR Project,Rental,23,2,0,0,2,,,,1992,1999,"1130 Mariposa Street, San Francisco, CA 94107",37.76398836,-122.3950116,1130 Mariposa Street,San Francisco,CA,94107
193,Completed,Book Concern Building,83 - 91,McAllister Street,94102,ON,On-Site BMR Project,Ownership,60,6,0,0,6,,,38807,2004,2007,"83 McAllister Street, San Francisco, CA 94102",37.78093382,-122.4134066,83 McAllister Street,San Francisco,CA,94102
101,Completed,Blu,631,Folsom Street,94107,FEE,Fee BMR Project,Ownership,120,0,0,0,0,,,,2008,2008,"631 Folsom Street, San Francisco, CA 94107",37.78507742,-122.3972805,631 Folsom Street,San Francisco,CA,94107
216,Completed,Sierra Heights,639,Missouri Street (aka 25 Sierra),94107,ON,On-Site BMR Project,Ownership,67,7,0,0,7,,,38740,2001,2006,"639 Missouri Street, San Francisco, CA 94107",37.75795271,-122.3960348,639 Missouri Street,San Francisco,CA,94107
176,Completed,Linea,1960-1998,Market Street,94114,OFF-SITE,Off-Site BMR Project,Ownership,114,0,23,0,0,,1600 Market Street (23/24 ownership units),,2010,2014,"1960 Market Street, San Francisco, CA 94114",37.77021854,-122.4257098,1960 Market Street,San Francisco,CA,94114
155,Completed,Millwheel North,1275-1301,Indiana Street,94107,ON,On-Site BMR Project,Ownership,39,5,0,0,5,,,,2004,2014,"1275 Indiana Street, San Francisco, CA 94107",37.75462907,-122.3908484,1275 Indiana Street,San Francisco,CA,94107
33,Completed,Providence,1701,19th Avenue,94122,ON,On-Site BMR Project,Ownership,81,8,0,0,8,,,37758,1999,2001,"1701 19th Avenue, San Francisco, CA 94122",37.75595106,-122.4765897,1701 19th Avenue,San Francisco,CA,94122
237,First Const Doc Issued,1634-1690 Pine,1634-1690,Pine Street,94109,ON,On-Site BMR Project,Ownership,261,31,0,0,31,,,,2014,,"1634 Pine Street, San Francisco, CA 94109",37.78934778,-122.4228922,1634 Pine Street,San Francisco,CA,94109
287,Completed,Arc Light Co. (AKA 21 Clarence),178,Townsend Street,94107,ON,On-Site BMR Project,Rental,94,19,0,0,19,,,40914,2009,2012,"178 Townsend Street, San Francisco, CA 94107",37.77934367,-122.3921977,178 Townsend Street,San Francisco,CA,94107
19,Completed,788 Minna,121,09th Street,94103,ON,On-Site BMR Project,Ownership,18,2,0,0,2,,,40970,2005,2011,"121 9th Street, San Francisco, CA 94103",37.77589374,-122.4142409,121 9th Street,San Francisco,CA,94103
303,Completed,Symphony Towers,750,Van Ness Avenue,94102,ON,On-Site BMR Project,Ownership,130,16,0,0,16,,,39346,2002,2008,"750 Van Ness Avenue, San Francisco, CA 94102",37.78241681,-122.4206361,750 Van Ness Avenue,San Francisco,CA,94102
11,Entitled,119 - 7th Street,119,07th Street,94103,FEE,Fee BMR Project,Unknown,39,0,0,0,0,,,,2014,,"119 7th Street, San Francisco, CA 94103",37.77854972,-122.4100326,119 7th Street,San Francisco,CA,94103
84,Completed,Clipper Street,672-676 B,Clipper (aka 25th Street),94114,ON,On-Site BMR Project,Ownership,24,2,0,0,2,,,,1997,2001,"672 Clipper, San Francisco, CA 94114",37.74866733,-122.4399422,672 Clipper,San Francisco,CA,94114
66,Entitled,1433 Bush Street,1433,Bush Street,94109,FEE,Fee BMR Project,Unknown,32,0,0,0,0,,,,2014,,"1433 Bush Street, San Francisco, CA 94109",37.78858382,-122.4208861,1433 Bush Street,San Francisco,CA,94109
113,First Const Doc Issued,340 Fremont,340-350,Fremont Street,94105,FEE,Fee BMR Project,Unknown,348,,,,,,,,2006,,"340 Fremont Street, San Francisco, CA 94105",37.78739697,-122.392888,340 Fremont Street,San Francisco,CA,94105
134,Completed,2652 Harrison Street,2652,Harrison Street,94110,FEE,Fee BMR Project,Ownership,20,0,0,0,0,,,,2010,2013,"2652 Harrison Street, San Francisco, CA 94110",37.75512732,-122.4121541,2652 Harrison Street,San Francisco,CA,94110
295,Completed,Valencia 270,270-284,Valencia Street (aka 17 Brosnan St),94103,ON,On-Site BMR Project,Ownership,28,3,0,0,3,,,38607,2003,2006,"270 Valencia Street, San Francisco, CA 94103",37.76851683,-122.4222539,270 Valencia Street,San Francisco,CA,94103
130,First Const Doc Issued,400 Grove,400,Grove Street,94102,ON,On-Site BMR Project,Ownership,34,4,0,0,4,,,,2013,,"400 Grove Street, San Francisco, CA 94102",37.77778809,-122.4236228,400 Grove Street,San Francisco,CA,94102
8,Completed,Potrero Launch,2235,03rd Street,94107,ON,On-Site BMR Project,Rental,196,39,0,0,39,,,41162,2008,2012,"2235 3rd Street, San Francisco, CA 94107",37.76111457,-122.3884851,2235 3rd Street,San Francisco,CA,94107
50,Completed,Bayshore,2428,Bayshore Blvd.,94134,ON (FOR OFF-SITE),Units for Off-Site Project,Ownership,0,0,0,12,12,1635 California (6) and 680 Illinois (6),,38876,2005,2006,"2428 Bayshore Blvd., San Francisco, CA 94134",37.71084973,-122.4040743,2428 Bayshore Blvd,San Francisco,CA,94134
254,Completed,246 Ritch Street,246,Ritch Street,94107,FEE,Fee BMR Project,Ownership,19,0,0,0,0,,,,2010,2014,"246 Ritch Street, San Francisco, CA 94107",37.78029776,-122.3957076,246 Ritch Street,San Francisco,CA,94107
88,Completed,"Candlestick Point - The Cove,  Phase II",301-501,Crescent Way,94134,ON,On-Site BMR Project,Ownership,176,18,0,0,18,,,38891,2005,2007,"301 Crescent Way, San Francisco, CA 94134",37.71137287,-122.38856,301 Crescent Way,San Francisco,CA,94134
35,Completed,638 19th Street,638,19th Street,94107,ON,On-Site BMR Project,Ownership,18,2,0,0,2,,,40836,2002,2010,"638 19th Street, San Francisco, CA 94107",37.7617875,-122.3889909,638 19th Street,San Francisco,CA,94107
75,Entitled,376 Castro Street,376,Castro Street,94114,ON,On-Site BMR Project,Ownership,24,3,0,0,3,,,,2012,,"376 Castro Street, San Francisco, CA 94114",37.76297551,-122.4352435,376 Castro Street,San Francisco,CA,94114
214,Completed,1099 Mississippi,1099,Mississippi Street,94107,ON,On-Site BMR Project,Ownership,10,1,0,0,1,,,,1995,2004,"1099 Mississippi Street, San Francisco, CA 94107",37.75269485,-122.3936151,1099 Mississippi Street,San Francisco,CA,94107
231,Completed,1645 Pacific Avenue,1645,Pacific Avenue,94109,ON/FEE,Combination Project,Ownership,39,5,0,0,5,,,41928,2010,2014,"1645 Pacific Avenue, San Francisco, CA 94109",37.79490293,-122.4223656,1645 Pacific Avenue,San Francisco,CA,94109
177,Completed,Ritz Carlton,690,Market Street,94104,OFF-SITE,Off-Site BMR Project,Ownership,52,0,11,0,0,,938-942 Market Street (13/24 ownership units),,2004,2007,"690 Market Street, San Francisco, CA 94104",37.78806414,-122.4029785,690 Market Street,San Francisco,CA,94104
310,Entitled,2101-2155 Webster,2101-2155,Webster Street,94115,FEE,Fee BMR Project,Unknown,76,0,0,0,0,,,,2014,,"2101 Webster Street, San Francisco, CA 94115",37.79018319,-122.4324435,2101 Webster Street,San Francisco,CA,94115
252,Completed,"One Rincon, Phase I",1,Rincon Hill (aka 425 First Street - Tower One Only),94105,FEE,Fee BMR Project,Ownership,382,0,0,0,0,,,,2005,2008,"425 1st Street, San Francisco, CA 94105",37.7859255,-122.3926137,425 1st Street,San Francisco,CA,94105
268,Entitled,490 South Van Ness Avenue,490,South Van Ness Avenue,94103,ON,On-Site BMR Project,Ownership,72,12,0,0,12,,,,2014,,"490 South Van Ness Avenue, San Francisco, CA 94103",37.76548748,-122.4175537,490 South Van Ness Avenue,San Francisco,CA,94103
151,Completed,Gantry,740,Illinois Street (and 2121 3rd Street),94107,ON,On-Site BMR Project,Rental,105,18,0,0,18,,,41842,2011,2014,"740 Illinois Street, San Francisco, CA 94107",37.76215739,-122.3877638,740 Illinois Street,San Francisco,CA,94107
131,Completed,300 Ivy,401,Grove Street,94102,ON,On-Site BMR Project,Ownership,63,9,0,0,9,,,41544,2011,2013,"401 Grove Street, San Francisco, CA 94102",37.77773278,-122.4235767,401 Grove Street,San Francisco,CA,94102
85,BP Issued,1255-1275 Columbus,1255-1275,Columbus Avenue,94133,FEE,Fee BMR Project,Unknown,20,0,0,0,0,,,,2011,,"1255 Columbus Avenue, San Francisco, CA 94133",37.80577338,-122.4181088,1255 Columbus Avenue,San Francisco,CA,94133
41,Completed,3418 26th Street,3418,26th Street,94110,FEE,Fee BMR Project,Rental,11,0,0,0,0,,,,2011,2014,"3418 26th Street, San Francisco, CA 94110",37.74903751,-122.4189606,3418 26th Street,San Francisco,CA,94110
115,Completed,733 Front Street,733,Front Street,94111,FEE,Fee BMR Project,Unknown,69,0,0,0,0,,,,2005,2007,"733 Front Street, San Francisco, CA 94111",37.79808323,-122.3997429,733 Front Street,San Francisco,CA,94111
191,Completed,Venn,1844,Market Street,94102,ON,On-Site BMR Project,Rental,113,14,0,0,14,,,41596,2006,2013,"1844 Market Street, San Francisco, CA 94102",37.77128346,-122.4242577,1844 Market Street,San Francisco,CA,94102
311,Completed,Glen Park Marketplace,53,Wilder Street,94131,ON,On-Site BMR Project,Ownership,15,2,0,0,2,,,38874,2002,2006,"53 Wilder Street, San Francisco, CA 94131",37.73414311,-122.4334944,53 Wilder Street,San Francisco,CA,94131
289,BP Issued,1050 Valencia Street,1050-1058,Valencia Street,94110,FEE,Fee BMR Project,Ownership,12,2,0,0,2,,,,2012,,"1050 Valencia Street, San Francisco, CA 94110",37.75595696,-122.4210636,1050 Valencia Street,San Francisco,CA,94110
81,Completed,470 Clementina,470,Clementina Street,94103,ON,On-Site BMR Project,Ownership,12,1,0,0,1,,,38573,2005,2005,"470 Clementina Street, San Francisco, CA 94103",37.77948425,-122.4055377,470 Clementina Street,San Francisco,CA,94103
219,Completed,537 Natoma Street,537,Natoma Street,94103,ON,On-Site BMR Project,Ownership,13,1,0,0,1,,,41562,2011,2013,"537 Natoma Street, San Francisco, CA 94103",37.77946696,-122.4085313,537 Natoma Street,San Francisco,CA,94103
