Decades,Estimate of Units Built,MOE
1939 or earlier,183972,2046
1940 to 1949,38880,1202
1950 to 1959,35325,1200
1960 to 1969,30405,1317
1970 to 1979,27506,1019
1980 to 1989,19433,862
1990 to 1999,16272,943
2000 to 2009,25540,920
2010 to 2013,853,180
