Decades,Estimate of Units Built
1939 or earlier,184175
1940 to 1949,39006
1950 to 1959,35680
1960 to 1969,30579
1970 to 1979,26745
1980 to 1989,19407
1990 to 1999,16795
2000 to 2009,26399
2010 to 2014,1732
