GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
1400000US06075017700,06075017700,"Census Tract 177, San Francisco County, California",729,83,122,52,607,86
1400000US06075017801,06075017801,"Census Tract 178.01, San Francisco County, California",2227,140,368,123,1859,171
1400000US06075017802,06075017802,"Census Tract 178.02, San Francisco County, California",1875,189,521,174,1354,206
1400000US06075017902,06075017902,"Census Tract 179.02, San Francisco County, California",628,70,0,12,628,70
1400000US06075018000,06075018000,"Census Tract 180, San Francisco County, California",1353,124,588,101,765,123
1400000US06075020100,06075020100,"Census Tract 201, San Francisco County, California",2715,228,564,150,2151,233
1400000US06075020200,06075020200,"Census Tract 202, San Francisco County, California",3106,158,529,139,2577,201
1400000US06075020300,06075020300,"Census Tract 203, San Francisco County, California",1648,128,521,127,1127,145
1400000US06075020401,06075020401,"Census Tract 204.01, San Francisco County, California",1696,111,865,149,831,178
1400000US06075020402,06075020402,"Census Tract 204.02, San Francisco County, California",2477,149,648,157,1829,176
1400000US06075020500,06075020500,"Census Tract 205, San Francisco County, California",1379,60,538,103,841,111
1400000US06075020600,06075020600,"Census Tract 206, San Francisco County, California",2583,153,1144,192,1439,197
1400000US06075020700,06075020700,"Census Tract 207, San Francisco County, California",2767,115,744,141,2023,159
1400000US06075020800,06075020800,"Census Tract 208, San Francisco County, California",2506,136,355,145,2151,171
1400000US06075020900,06075020900,"Census Tract 209, San Francisco County, California",1726,102,233,61,1493,114
1400000US06075021000,06075021000,"Census Tract 210, San Francisco County, California",2135,102,564,180,1571,186
1400000US06075021100,06075021100,"Census Tract 211, San Francisco County, California",1872,135,875,115,997,140
1400000US06075021200,06075021200,"Census Tract 212, San Francisco County, California",1438,92,796,107,642,119
1400000US06075021300,06075021300,"Census Tract 213, San Francisco County, California",1180,83,687,99,493,101
1400000US06075021400,06075021400,"Census Tract 214, San Francisco County, California",1659,110,833,104,826,116
1400000US06075021500,06075021500,"Census Tract 215, San Francisco County, California",2590,187,1143,161,1447,218
1400000US06075021600,06075021600,"Census Tract 216, San Francisco County, California",2083,128,1356,150,727,147
1400000US06075021700,06075021700,"Census Tract 217, San Francisco County, California",1884,61,1270,127,614,118
1400000US06075021800,06075021800,"Census Tract 218, San Francisco County, California",1875,69,976,129,899,126
1400000US06075022600,06075022600,"Census Tract 226, San Francisco County, California",874,72,443,69,431,76
1400000US06075022702,06075022702,"Census Tract 227.02, San Francisco County, California",988,68,374,79,614,83
1400000US06075022704,06075022704,"Census Tract 227.04, San Francisco County, California",1619,100,843,116,776,123
1400000US06075022801,06075022801,"Census Tract 228.01, San Francisco County, California",1918,91,794,105,1124,145
1400000US06075022802,06075022802,"Census Tract 228.02, San Francisco County, California",582,61,153,41,429,72
1400000US06075022803,06075022803,"Census Tract 228.03, San Francisco County, California",1583,90,412,94,1171,123
1400000US06075022901,06075022901,"Census Tract 229.01, San Francisco County, California",1430,90,324,81,1106,115
1400000US06075022902,06075022902,"Census Tract 229.02, San Francisco County, California",812,58,371,63,441,77
1400000US06075022903,06075022903,"Census Tract 229.03, San Francisco County, California",1114,60,477,83,637,84
1400000US06075023001,06075023001,"Census Tract 230.01, San Francisco County, California",1334,83,944,126,390,109
1400000US06075023003,06075023003,"Census Tract 230.03, San Francisco County, California",1140,100,817,113,323,107
1400000US06075023102,06075023102,"Census Tract 231.02, San Francisco County, California",1528,76,500,92,1028,108
1400000US06075023103,06075023103,"Census Tract 231.03, San Francisco County, California",1042,96,90,46,952,104
1400000US06075023200,06075023200,"Census Tract 232, San Francisco County, California",1227,79,632,118,595,123
1400000US06075023300,06075023300,"Census Tract 233, San Francisco County, California",857,71,571,74,286,85
1400000US06075023400,06075023400,"Census Tract 234, San Francisco County, California",931,105,383,91,548,127
1400000US06075025100,06075025100,"Census Tract 251, San Francisco County, California",1351,67,1013,92,338,81
1400000US06075025200,06075025200,"Census Tract 252, San Francisco County, California",2157,138,1102,185,1055,204
1400000US06075025300,06075025300,"Census Tract 253, San Francisco County, California",1770,85,760,100,1010,118
1400000US06075025401,06075025401,"Census Tract 254.01, San Francisco County, California",1234,102,608,120,626,117
1400000US06075025402,06075025402,"Census Tract 254.02, San Francisco County, California",1166,59,775,104,391,106
1400000US06075025403,06075025403,"Census Tract 254.03, San Francisco County, California",1478,111,743,115,735,130
1400000US06075025500,06075025500,"Census Tract 255, San Francisco County, California",2602,93,1813,175,789,192
1400000US06075025600,06075025600,"Census Tract 256, San Francisco County, California",1619,79,1163,129,456,121
1400000US06075025701,06075025701,"Census Tract 257.01, San Francisco County, California",1398,73,907,119,491,122
1400000US06075025702,06075025702,"Census Tract 257.02, San Francisco County, California",1202,86,659,92,543,106
1400000US06075025800,06075025800,"Census Tract 258, San Francisco County, California",618,40,336,50,282,56
1400000US06075025900,06075025900,"Census Tract 259, San Francisco County, California",1377,94,965,116,412,113
1400000US06075026001,06075026001,"Census Tract 260.01, San Francisco County, California",1461,93,789,95,672,121
1400000US06075026002,06075026002,"Census Tract 260.02, San Francisco County, California",972,50,696,87,276,85
1400000US06075026003,06075026003,"Census Tract 260.03, San Francisco County, California",1369,73,863,117,506,108
1400000US06075026004,06075026004,"Census Tract 260.04, San Francisco County, California",1232,72,629,108,603,129
1400000US06075026100,06075026100,"Census Tract 261, San Francisco County, California",1987,69,1227,143,760,152
1400000US06075026200,06075026200,"Census Tract 262, San Francisco County, California",1944,81,1312,145,632,129
1400000US06075026301,06075026301,"Census Tract 263.01, San Francisco County, California",1360,54,762,116,598,114
1400000US06075026302,06075026302,"Census Tract 263.02, San Francisco County, California",1502,71,966,101,536,104
1400000US06075026303,06075026303,"Census Tract 263.03, San Francisco County, California",1264,56,866,101,398,103
1400000US06075026401,06075026401,"Census Tract 264.01, San Francisco County, California",1102,56,711,84,391,89
1400000US06075026402,06075026402,"Census Tract 264.02, San Francisco County, California",1180,63,906,94,274,91
1400000US06075026403,06075026403,"Census Tract 264.03, San Francisco County, California",1064,84,642,112,422,108
1400000US06075026404,06075026404,"Census Tract 264.04, San Francisco County, California",657,66,347,54,310,71
1400000US06075030101,06075030101,"Census Tract 301.01, San Francisco County, California",2103,96,571,113,1532,125
1400000US06075030102,06075030102,"Census Tract 301.02, San Francisco County, California",2227,111,1049,102,1178,142
1400000US06075030201,06075030201,"Census Tract 302.01, San Francisco County, California",1869,100,515,98,1354,121
1400000US06075030202,06075030202,"Census Tract 302.02, San Francisco County, California",2051,140,467,127,1584,163
1400000US06075030301,06075030301,"Census Tract 303.01, San Francisco County, California",2329,145,1241,171,1088,185
1400000US06075030302,06075030302,"Census Tract 303.02, San Francisco County, California",1413,73,1075,85,338,71
1400000US06075030400,06075030400,"Census Tract 304, San Francisco County, California",1960,79,1583,107,377,81
1400000US06075030500,06075030500,"Census Tract 305, San Francisco County, California",996,65,740,94,256,77
1400000US06075030600,06075030600,"Census Tract 306, San Francisco County, California",910,36,743,61,167,55
1400000US06075030700,06075030700,"Census Tract 307, San Francisco County, California",2658,98,2234,154,424,127
1400000US06075030800,06075030800,"Census Tract 308, San Francisco County, California",2132,126,1773,136,359,109
1400000US06075030900,06075030900,"Census Tract 309, San Francisco County, California",2338,101,2115,141,223,134
1400000US06075031000,06075031000,"Census Tract 310, San Francisco County, California",1324,56,986,102,338,112
1400000US06075031100,06075031100,"Census Tract 311, San Francisco County, California",2522,103,1523,188,999,181
1400000US06075031201,06075031201,"Census Tract 312.01, San Francisco County, California",1868,120,1278,142,590,141
1400000US06075031202,06075031202,"Census Tract 312.02, San Francisco County, California",884,44,594,61,290,62
1400000US06075031301,06075031301,"Census Tract 313.01, San Francisco County, California",1288,97,993,109,295,95
1400000US06075031302,06075031302,"Census Tract 313.02, San Francisco County, California",1916,69,1267,144,649,145
1400000US06075031400,06075031400,"Census Tract 314, San Francisco County, California",1852,87,1155,134,697,129
1400000US06075032601,06075032601,"Census Tract 326.01, San Francisco County, California",1769,95,699,129,1070,143
1400000US06075032602,06075032602,"Census Tract 326.02, San Francisco County, California",1654,90,735,108,919,115
1400000US06075032700,06075032700,"Census Tract 327, San Francisco County, California",2464,86,1594,157,870,158
1400000US06075032801,06075032801,"Census Tract 328.01, San Francisco County, California",1381,124,741,138,640,136
1400000US06075032802,06075032802,"Census Tract 328.02, San Francisco County, California",1392,122,944,133,448,128
1400000US06075032901,06075032901,"Census Tract 329.01, San Francisco County, California",1809,62,1246,128,563,131
1400000US06075032902,06075032902,"Census Tract 329.02, San Francisco County, California",1361,72,939,115,422,104
1400000US06075033000,06075033000,"Census Tract 330, San Francisco County, California",2709,114,1589,222,1120,192
1400000US06075033100,06075033100,"Census Tract 331, San Francisco County, California",1491,66,1264,121,227,99
1400000US06075033201,06075033201,"Census Tract 332.01, San Francisco County, California",593,74,0,12,593,74
1400000US06075033203,06075033203,"Census Tract 332.03, San Francisco County, California",1484,69,0,12,1484,69
1400000US06075033204,06075033204,"Census Tract 332.04, San Francisco County, California",1621,97,0,12,1621,97
1400000US06075035100,06075035100,"Census Tract 351, San Francisco County, California",2796,123,1575,232,1221,233
1400000US06075035201,06075035201,"Census Tract 352.01, San Francisco County, California",1842,108,1113,120,729,117
1400000US06075035202,06075035202,"Census Tract 352.02, San Francisco County, California",1755,96,575,95,1180,123
1400000US06075035300,06075035300,"Census Tract 353, San Francisco County, California",2577,63,1759,205,818,198
1400000US06075035400,06075035400,"Census Tract 354, San Francisco County, California",2271,160,1326,156,945,187
1400000US06075040100,06075040100,"Census Tract 401, San Francisco County, California",1908,113,417,87,1491,141
1400000US06075040200,06075040200,"Census Tract 402, San Francisco County, California",2351,126,643,171,1708,194
1400000US06075042601,06075042601,"Census Tract 426.01, San Francisco County, California",1726,117,403,96,1323,152
1400000US06075042602,06075042602,"Census Tract 426.02, San Francisco County, California",1429,120,448,118,981,158
1400000US06075042700,06075042700,"Census Tract 427, San Francisco County, California",2326,134,644,114,1682,143
1400000US06075042800,06075042800,"Census Tract 428, San Francisco County, California",910,64,716,56,194,46
1400000US06075045100,06075045100,"Census Tract 451, San Francisco County, California",2182,169,655,132,1527,198
1400000US06075045200,06075045200,"Census Tract 452, San Francisco County, California",2876,109,1008,190,1868,197
1400000US06075047600,06075047600,"Census Tract 476, San Francisco County, California",2262,128,721,172,1541,192
1400000US06075047701,06075047701,"Census Tract 477.01, San Francisco County, California",1796,114,770,131,1026,147
1400000US06075047702,06075047702,"Census Tract 477.02, San Francisco County, California",1619,59,663,130,956,123
1400000US06075047801,06075047801,"Census Tract 478.01, San Francisco County, California",1565,108,770,121,795,139
1400000US06075047802,06075047802,"Census Tract 478.02, San Francisco County, California",1607,53,538,96,1069,95
1400000US06075047901,06075047901,"Census Tract 479.01, San Francisco County, California",2616,162,1430,180,1186,222
1400000US06075047902,06075047902,"Census Tract 479.02, San Francisco County, California",1527,100,702,117,825,109
1400000US06075060100,06075060100,"Census Tract 601, San Francisco County, California",1218,72,77,45,1141,88
