year,1970,1980,1990,2000,2010,1970,1980,1990,2000,2010
rentown,Renter Occupied,Renter Occupied,Renter Occupied,Renter Occupied,Renter Occupied,Owner Occupied,Owner Occupied,Owner Occupied,Owner Occupied,Owner Occupied
value,198138,198170,200087,214309,222165,97036,100786,105497,115391,123646
