Year,CalHOME Loans,CHRP Loans,CERF Loans
2004,0,225000,0
2005,0,52000,0
2006,0,568500,15000
2007,347669,973711.95,50270
2008,398000,1346500,58000
2009,429594,393600,16000
2010,320889,0,50000
2011,325000,0,0
2012,225000,0,0
2013,295000,0,0
2014,95000,0,0
