GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied:,Margin of Error; Owner occupied:,Estimate; Owner occupied: - Built 2010 or later,Margin of Error; Owner occupied: - Built 2010 or later,Estimate; Owner occupied: - Built 2000 to 2009,Margin of Error; Owner occupied: - Built 2000 to 2009,Estimate; Owner occupied: - Built 1990 to 1999,Margin of Error; Owner occupied: - Built 1990 to 1999,Estimate; Owner occupied: - Built 1980 to 1989,Margin of Error; Owner occupied: - Built 1980 to 1989,Estimate; Owner occupied: - Built 1970 to 1979,Margin of Error; Owner occupied: - Built 1970 to 1979,Estimate; Owner occupied: - Built 1960 to 1969,Margin of Error; Owner occupied: - Built 1960 to 1969,Estimate; Owner occupied: - Built 1950 to 1959,Margin of Error; Owner occupied: - Built 1950 to 1959,Estimate; Owner occupied: - Built 1940 to 1949,Margin of Error; Owner occupied: - Built 1940 to 1949,Estimate; Owner occupied: - Built 1939 or earlier,Margin of Error; Owner occupied: - Built 1939 or earlier,Estimate; Renter occupied:,Margin of Error; Renter occupied:,Estimate; Renter occupied: - Built 2010 or later,Margin of Error; Renter occupied: - Built 2010 or later,Estimate; Renter occupied: - Built 2000 to 2009,Margin of Error; Renter occupied: - Built 2000 to 2009,Estimate; Renter occupied: - Built 1990 to 1999,Margin of Error; Renter occupied: - Built 1990 to 1999,Estimate; Renter occupied: - Built 1980 to 1989,Margin of Error; Renter occupied: - Built 1980 to 1989,Estimate; Renter occupied: - Built 1970 to 1979,Margin of Error; Renter occupied: - Built 1970 to 1979,Estimate; Renter occupied: - Built 1960 to 1969,Margin of Error; Renter occupied: - Built 1960 to 1969,Estimate; Renter occupied: - Built 1950 to 1959,Margin of Error; Renter occupied: - Built 1950 to 1959,Estimate; Renter occupied: - Built 1940 to 1949,Margin of Error; Renter occupied: - Built 1940 to 1949,Estimate; Renter occupied: - Built 1939 or earlier,Margin of Error; Renter occupied: - Built 1939 or earlier
0500000US06075,06075,"San Francisco County, California",345344,1739,126394,1899,406,127,9246,648,5033,458,6415,468,5730,499,7135,504,12292,638,17291,881,62846,1416,218950,2338,447,129,13224,842,10018,803,11201,761,19880,930,21095,1111,20872,989,18605,956,103608,1966
