label,Status,description,longitude,latitude,geo_accuracy,Neighborhood,Section 415 Declaration,Category,Tenure,Total Principal Project Units,Final BMR On-Site,Total inclusionary units off-site,Total inclusionary units at this location,Units For,Principal Project,Off-site address,Lottery Date,Entitlement year,Building completion year
Mosso,First Const Doc Issued,"900 Folsom Street, San Francisco, CA",-122.4042228,37.78009155,house,SOMA,ON,On-site,Rental ,269,40,0,40,On-Site,Mosso,,Pending,2010,
181 Fremont,First Const Doc Issued,"181 Fremont Street, San Francisco, CA",-122.3953051,37.78947475,house,Financial District,ON,On-site,Ownership,74,11,0,11,On-Site,181 Fremont,,Pending,2012,
344 Fulton,BP Issued,"344 Fulton Street, San Francisco, CA 94102",-122.4224797,37.77894222,house,Downtown/Civic Center,ON,On-site,Rental,69,8,0,8,On-Site,344 Fulton,,Pending,2013,
3445 Geary (PM Name 3425 Geary),Completed,"3425 Geary Blvd, San Francisco, CA 94118",-122.455753,37.78133367,house,Inner Richmond,ON,On-site,Rental,33,3,0,3,On-Site,3445 Geary (PM Name 3425 Geary),,,1997,2001
1828 Geneva,Completed,"1828 Geneva Avenue, San Francisco, CA 94134",-122.4240141,37.70946883,house,Crocker Amazon,ON,On-site,Rental,48,6,0,6,On-Site,1828 Geneva,,,2002,2008
888 Paris ,Completed,"965 Geneva Avenue , San Francisco, CA 94112",-122.4399148,37.71603318,house,Excelsior,ON,On-site,Rental,67,8,0,8,On-Site,888 Paris ,,,2003,2004
525 Gough St,Completed,"525 Gough Street, San Francisco, CA 94102",-122.423327,37.77809249,house,Western Addition,ON,On-site,Ownership,21,3,0,3,On-Site,525 Gough St,,12/8/05,2002,2006
Landmark Union Sq.,Completed,"333 Grant Avenue, San Francisco, CA 94108",-122.405683,37.790182,house,Union Square,ON,On-site,Ownership,39,2,0,2,On-Site,Landmark Union Sq.,,4/8/04,2003,2004
The Redstone,Completed,"1450 Greenwich Street, San Francisco, CA 94109",-122.4235904,37.80059618,house,Russion Hill,ON,On-site,Ownership,24,4,0,4,On-Site,The Redstone,,No Lottery,2002,2004
300 Ivy ,Completed,"401 Grove Street, San Francisco, CA 94102",-122.423303,37.777714,house,Western Addition,ON,On-site,Ownership,61,9,0,9,On-Site,300 Ivy ,,9/27/13,2011,2013
400 Grove,First Const Doc Issued,"400 Grove Street, San Francisco, CA 94102",-122.423509,37.7779719,house,Western Addition,ON,On-site,Ownership,34,4,0,4,On-Site,400 Grove,,Pending,2013,
Haight Street Lofts,Completed,"645 Haight Street, San Francisco, CA 94117",-122.4328288,37.77171967,house,Haight Ashbury,ON,On-site,Ownership,20,3,0,3,On-Site,Haight Street Lofts,,,1992,1995
Harbor Lofts (AKA 400 Spear),Completed,"101 Harrison Street, San Francisco, CA 94105",-122.389466,37.788693,house,SOMA,ON,On-site,Ownership,12,2,0,2,On-Site,Harbor Lofts (AKA 400 Spear),,,1995,2003
3000 23rd Street,Completed,"2690 Harrison Street, San Francisco, CA 94110",-122.4121724,37.75445778,house,Mission,ON,On-site,Rental ,54,7,0,7,On-Site,3000 23rd Street,,,2003,2006
Rincon Green,Completed,"333 Harrison Street, San Francisco, CA 94105",-122.3914299,37.78714151,house,SOMA,ON,On-site,Rental,326,49,0,49,On-Site,Rincon Green,,12/5/12,2009,2013
870 Harrison Street,First Const Doc Issued,"870 Harrison Street, San Francisco, CA 94107",-122.4012329,37.77962986,house,SOMA,ON,On-site,Ownership,26,4,0,4,On-Site,870 Harrison Street,,Pending,2009,
Hayes Street Gardens,Completed,"342 Hayes Street, San Francisco, CA 94102",-122.4220743,37.777081,house,Downtown/Civic Center,ON,On-site,Ownership,14,1,0,1,On-Site,Hayes Street Gardens,,,1995,2004
Unknown,Entitled,"450 Hayes Street, San Francisco, CA ",-122.4238809,37.77703295,house,Western Addition,ON,On-site,Ownership,24,5,0,5,On-Site,Unknown,,Pending,2013,
580 Hayes,Entitled,"580 Hayes Street, San Francisco, CA 94102",-122.4258812,37.77659641,house,Western Addition,ON,On-site,Unknown,42,5,0,5,On-Site,580 Hayes,,Pending,2008,
Las Casitas,Completed,"3338 17th St, San Francisco, CA 94110",-122.421247,37.763411,house,Mission,ON,On-site,Ownership,60,6,0,6,On-Site,Las Casitas,,,1998,2000
348 Hyde,Completed,"336 Hyde Street, San Francisco, CA 94109",-122.4158564,37.7839041,house,Downtown/Civic Center,ON,On-site,Rental,12,1,0,1,On-Site,348 Hyde,,,1999,2004
168 Hyde Street,Completed,"168 Hyde Street, San Francisco, CA 94102",-122.4155241,37.78226569,house,Downtown/Civic Center,ON,On-site,Ownership,31,3,0,3,On-Site,168 Hyde Street,,Pending,2008,2008
245-259 Hyde Street,Entitled,"245 Hyde Street, San Francisco, CA 94109",-122.4158785,37.78297662,house,Downtown/Civic Center,ON,On-site,Unknown,65,8,0,8,On-Site,245-259 Hyde Street,,Pending,2008,
740 Illinois/2121 3rd Street ,First Const Doc Issued,"740 Illinois Street , San Francisco, CA 94107",-122.3878537,37.76255596,house,Potero Hill,ON,On-site,Rental,106,18,0,18,On-Site,740 Illinois/2121 3rd Street ,,Pending,2011,
1578 Indiana,Completed,"1578 Indiana Street , San Francisco, CA 94107",-122.3905706,37.75044339,house,Potero Hill,ON,On-site,Ownership,12,2,0,2,On-Site,1578 Indiana,,,1998,2003
Millwheel South,Completed,"1275 Indiana Street , San Francisco, CA 94107",-122.3907169,37.75422542,house,Potero Hill,ON,On-site,Ownership,32,4,0,4,On-Site,Millwheel South,,7/20/12,2004,2012
Millwheel North ,Entitled,"1275 Indiana Street , San Francisco, CA 94107",-122.3907169,37.75422542,house,Potero Hill,ON,On-site,Ownership,39,5,0,5,On-Site,Millwheel North ,,Pending,2004,
180 Jones Street / 181 Turk Street,Entitled,"180 Jones Street, San Francisco, CA 94102",-122.4122591,37.78276882,house,Downtown/Civic Center,ON,On-site,Unknown,37,4,0,4,On-Site,180 Jones Street / 181 Turk Street,,Pending,2009,
2545 Judah Street (AKA 1408 31st) ,Completed,"2545 Judah Street, San Francisco, CA 94122",-122.4892716,37.76107718,house,Outer Sunset,ON,On-site,Rental,13,2,0,2,On-Site,2545 Judah Street (AKA 1408 31st) ,,7/24/08,2002,2008
8 Landers,Completed,"8 Landers Street, San Francisco, CA 94114",-122.4279543,37.7675805,house,Castro/Upper Market,ON,On-site,Ownership,14,1,0,1,On-Site,8 Landers,,8/10/07,2003,2006
81 Lansing,Completed,"81 Lansing Street , San Francisco, CA 94105",-122.3940575,37.78587149,house,SOMA,ON,On-site,Ownership,33,3,0,3,On-Site,81 Lansing,,,1994,2002
545 Leavenworth,Completed,"545 Leavenworth , San Francisco, CA 94109",-122.4148445,37.78618672,house,Downtown/Civic Center,ON,On-site,Ownership,12,1,0,1,On-Site,545 Leavenworth,,8/15/03,1999,2001
Magnolia Place,Completed,"1888 Lombard Street , San Francisco, CA 94123",-122.4324865,37.80037835,house,Marina,ON,On-site,Rental ,27,3,0,3,On-Site,Magnolia Place,,,1999,2001
3208 Pierce ,Completed,"2298 Lombard Street , San Francisco, CA 94123",-122.4392,37.799526,house,Marina,ON,On-site,Ownership,14,1,0,1,On-Site,3208 Pierce ,,5/11/07,2004,2007
1130 Mariposa,Completed,"1130 Mariposa Street, San Francisco, CA",-122.3950747,37.76402506,house,Potero Hill,ON,On-site,Rental,23,2,0,2,On-Site,1130 Mariposa,,,1992,1999
"Trinity Plaza Apartments, Phase I",Completed,"1167 Market Street, San Francisco, CA 94103",-122.4139013,37.77926588,house,SOMA,ON,On-site,Rental,440,12,0,12,On-Site,"Trinity Plaza Apartments, Phase I",,4/6/10,2006,2009
"Trinity Plaza Apartments, Phase II",Completed,"1167 Market Street, San Francisco, CA 94103",-122.4139013,37.77926588,house,SOMA,ON,On-site,Rental,417,63,0,63,On-Site,"Trinity Plaza Apartments, Phase II",,4/29/13,2006,2013
"NEMA, Phase I (South Tower)",Completed,"1407 Market Street, San Francisco, CA 94103",-122.4175889,37.77634584,house,SOMA,ON,On-site,Rental,317,38,0,38,On-Site,"NEMA, Phase I (South Tower)",,9/10/13,2007,2013
"Trinity Plaza Apartments, Phase IV",Entitled,"1167 Market Street, San Francisco, CA 94103",-122.4139013,37.77926588,house,SOMA,ON,On-site,Rental,493,74,0,74,On-Site,"Trinity Plaza Apartments, Phase IV",,Pending,2006,
"NEMA, Phase II (North Tower)",First Const Doc Issued,"1407 Market Street, San Francisco, CA ",-122.4175889,37.77634584,house,SOMA,ON,On-site,Rental,437,52,0,52,On-Site,"NEMA, Phase II (North Tower)",,Pending,2007,
2175 Market Street,First Const Doc Issued,"2175 Market Street, San Francisco, CA 94114",-122.4298728,37.7664465,house,Castro/Upper Market,ON,On-site,Rental,88,13,0,13,On-Site,2175 Market Street,,Pending,2012,
"Trinity Plaza Apartments, Phase III",First Const Doc Issued,"1167 Market Street, San Francisco, CA 94103",-122.4139013,37.77926588,house,SOMA,ON,On-site,Rental,550,83,0,83,On-Site,"Trinity Plaza Apartments, Phase III",,Pending,2006,
The Century,Completed,"2200 Market Street , San Francisco, CA 94114",-122.431625,37.7657169,house,Castro/Upper Market,ON,On-site,Ownership,22,3,0,3,On-Site,The Century,,Pending,2008,2014
Venn,Completed,"1844 Market Street  , San Francisco, CA 94102",-122.4244319,37.77146405,house,Western Addition,ON,On-site,Rental,113,14,0,14,On-Site,Venn,,11/18/13,2006,2013
Village at Petrini Place ,Completed,"2001 McAllister Street , San Francisco, CA 94117",-122.4451488,37.77701848,house,Western Addition,ON,On-site,Ownership,134,13,0,13,On-Site,Village at Petrini Place ,,,1999,2004
8 McLea Court,Completed,"8 McLea Court, San Francisco, CA 94103",-122.4085313,37.77228388,house,SOMA,ON,On-site,Rental ,102,3,0,3,On-Site,8 McLea Court,,No Lottery,2004,2007
Potrero Square,Completed,"701 Minnesota , San Francisco, CA 94107",-122.390458,37.761535,house,Potero Hill,ON,On-site,Ownership,58,5,0,5,On-Site,Potrero Square,,,1991,1993
The Bouganvillea,Completed,"5810 Mission Street, San Francisco, CA 94112",-122.4512206,37.70938798,house,Outer Mission,ON,On-site,Ownership,27,3,0,3,On-Site,The Bouganvillea,,,1992,1998
Tiffany Gardens,Completed,"3249 Mission Street, San Francisco, CA 94110",-122.4203059,37.74476656,house,Bernal Heights,ON,On-site,Rental ,33,3,0,3,On-Site,Tiffany Gardens,,,2001,2004
Mission Valencia (FNA Valencia Triangle),Completed,"3184 Mission Street, San Francisco, CA 94110",-122.419668,37.746111,house,Bernal Heights,ON,On-site,Ownership,20,2,0,2,On-Site,Mission Valencia (FNA Valencia Triangle),,8/27/09,2004,2006
1587 15th Street,Completed,"1905 Mission Street, San Francisco, CA 94110",-122.4195544,37.76649865,house,Mission,ON,On-site,Ownership,24,3,0,3,On-Site,1587 15th Street,,1/24/07,2004,2007
SOMA Grand,Completed,"1160 Mission Street, San Francisco, CA 94103",-122.412376,37.77819,house,SOMA,ON,On-site,Ownership,246,29,0,29,On-Site,SOMA Grand,,7/29/08,2003,2008
2200 Mission Street,Completed,"2200 Mission Street, San Francisco, CA 94110",-122.419451,37.761707,house,Mission,ON,On-site,Ownership,23,3,0,3,On-Site,2200 Mission Street,,12/4/08,2001,2009
Vara,Completed,"1880 Mission Street, San Francisco, CA 94110",-122.4199652,37.76703969,house,Mission,ON,On-site,Rental,202,40,0,40,On-Site,Vara,,5/13/13,2009,2013
1875 Mission Street,First Const Doc Issued,"1875 Mission Street, San Francisco, CA 94110",-122.4197663,37.76713459,house,Mission,ON,On-site,Ownership,39,6,0,6,On-Site,1875 Mission Street,,Pending,2012,
1415 Mission Street,BP Issued,"1415 Mission Street, San Francisco, CA 94103",-122.4160844,37.77501657,house,SOMA,ON,On-site,Rental,117,18,0,18,On-Site,1415 Mission Street,,Pending,2009,
5050 Mission Street ,Entitled,"5050 Mission Street, San Francisco, CA 94112",-122.440275,37.7176,house,Outer Mission,ON,On-site,Unknown,61,9,0,9,On-Site,5050 Mission Street ,,Pending,2008,
1099 Mississippi,Completed,"1099 Mississippi Street, San Francisco, CA 94107",-122.393528,37.752614,house,Potero Hill,ON,On-site,Ownership,10,1,0,1,On-Site,1099 Mississippi,,,1995,2004
1000 Mississippi Street (1001 Texas) ,Entitled,"1000 Mississippi Street , San Francisco, CA 94107",-122.393807,37.753349,house,Potero Hill,ON/FEE,Combination,Unknown,28,4,0,4,On-Site,1000 Mississippi Street (1001 Texas) ,,Pending,2008,
Sierra Heights,Completed,"639 Missouri Street , San Francisco, CA 94107",-122.395964,37.75806978,house,Potero Hill,ON,On-site,Ownership,67,7,0,7,On-Site,Sierra Heights,,1/23/06,2001,2006
75 Moss Street,Completed,"75 Moss Street, San Francisco, CA",-122.4076525,37.77758484,house,SOMA,ON,On-site,Ownership,14,1,0,1,On-Site,75 Moss Street,,9/8/08,2007,2008
574 Natoma Street,Completed,"574 Natoma Street, San Francisco, CA 94103",-122.4094465,37.7789135,house,SOMA,ON,On-site,Ownership,10,2,0,2,On-Site,574 Natoma Street,,6/6/12,2011,2012
537 Natoma Street,Completed,"537 Natoma Street, San Francisco, CA 94103",-122.4084623,37.77944836,house,SOMA ,ON,On-site,Ownership ,13,1,0,1,On-Site,537 Natoma Street,,10/15/13,2011,2013
74 New Montgomery Street,Completed,"74 New Montgomery, San Francisco, CA 94105",-122.400991,37.78772962,house,Financial District ,ON,On-site,Ownership,107,11,0,11,On-Site,74 New Montgomery Street,,10/8/08,2005,2008
