label,Status,description,longitude,latitude,Tenure,Total Principal Project Units,Final BMR On-Site,Final BMR Off-Site,Total inclusionary units at this location,Units For,Principal project triggering inclusionary requirement,Entitlement year,Building completion year
Blanc,Completed,"1080 Sutter Street, San Francisco, CA 94109",-122.4180777,37.78824025,Ownership,35,4,0,4,On-Site,Blanc,2009,2014
832 Sutter Street,Entitled,"832 Sutter Street, San Francisco, CA 94109",-122.414062,37.788615,Ownership,20,2,0,2,On-Site,832 Sutter Street,2014,
723 Taylor Street,Completed,"723 Taylor Street, San Francisco, CA 94108",-122.4120243,37.78897224,Ownership,12,1,0,1,On-Site,723 Taylor Street,2006,2010
41 Tehama,Entitled,"41 Tehama Street, San Francisco, CA 94105",-122.3970097,37.78700173,Ownership,325,49,0,49,On-Site,41 Tehama,2012,
475 Tehama Street ,Completed,"475 Tehama Street , San Francisco, CA",-122.4059542,37.7797329,Ownership,12,1,0,1,On-Site,475 Tehama Street ,2004,2005
Metro@Showplace Square,Completed,"675 Townsend , San Francisco, CA",-122.4032042,37.77047894,Rental,148,15,0,15,On-Site,Metro@Showplace Square,1999,2006
88 Townsend (Formerly 639-669 2nd Street),Completed,"88 Townsend Street, San Francisco, CA 94107",-122.3903172,37.7808895,Ownership,112,13,0,13,On-Site,88 Townsend (Formerly 639-669 2nd Street),2003,2004
Arc Light Co. (AKA 21 Clarence) ,Completed,"178 Townsend Street, San Francisco, CA 94107",-122.3922625,37.77912059,Rental,94,19,0,19,On-Site,Arc Light Co. (AKA 21 Clarence) ,2009,2012
170 Off Third ,Completed,"177 Townsend Street , San Francisco, CA 94107",-122.392248,37.779132,Ownership,198,24,0,24,On-Site,170 Off Third ,2003,2007
1050 Valencia Street,BP Issued,"1050 Valencia Street, San Francisco, CA 94110",-122.421133,37.755973,Ownership,12,2,0,2,On-Site,1050 Valencia Street,2012,
Carlin Senior Apartments,Completed,"286 Valencia Street , San Francisco, CA",-122.4223248,37.7683674,Rental ,36,4,0,4,On-Site,Carlin Senior Apartments,1998,2000
222 Valencia Street ,Completed,"222 Valencia Street , San Francisco, CA",-122.4224497,37.76966529,Ownership,10,1,0,1,On-Site,222 Valencia Street ,2002,2003
411 Valencia Street,Completed,"411 Valencia Street , San Francisco, CA",-122.4219182,37.76631281,Ownership,16,2,0,2,On-Site,411 Valencia Street,2010,2012
Valencia 270,Completed,"270 Valencia Street , San Francisco, CA",-122.4223392,37.7685146,Ownership,28,3,0,3,On-Site,Valencia 270,2003,2006
Pacific Homes (AKA 1800 Washington and 1701 Jackson) ,Completed,"1901 Van Ness Avenue, San Francisco, CA 94109",-122.423057,37.793065,Ownership,149,6,0,6,On-Site,Pacific Homes (AKA 1800 Washington and 1701 Jackson) ,1996,2002
900 Van Ness,Completed,"900 Van Ness Avenue, San Francisco, CA 94109",-122.420907,37.783949,Rental ,28,3,0,3,On-Site,900 Van Ness,1999,2003
Symphony Towers,Completed,"750 Van Ness Avenue, San Francisco, CA 94102",-122.4205589,37.78228935,Ownership,130,16,0,16,On-Site,Symphony Towers,2002,2008
Marlow,Completed,"1800 Van Ness Avenue, San Francisco, CA 94109",-122.422524,37.792236,Ownership,98,15,0,15,On-Site,Marlow,2011,2014
Artani,Completed,"818 Van Ness Avenue, San Francisco, CA 94109",-122.4207218,37.78317823,Ownership,52,2,0,2,On-Site,Artani,2005,2008
100 Van Ness Avenue,First Const Doc Issued,"100 Van Ness Avenue, San Francisco, CA 94102",-122.4191825,37.77664285,Rental,399,60,0,60,On-Site,100 Van Ness Avenue,2012,
945 Vermont,Completed,"929 Vermont Street, San Francisco, CA 94107",-122.4035911,37.757887,Ownership,10,1,0,1,On-Site,945 Vermont,1998,2004
1725 Washington Street,Completed,"1725 Washington Street, San Francisco, CA 94109",-122.4216937,37.79311561,Ownership,16,2,0,2,On-Site,1725 Washington Street,2003,2006
Glen Park Marketplace,Completed,"53 Wilder Street , San Francisco, CA 94131",-122.4330958,37.73416633,Ownership,15,2,0,2,On-Site,Glen Park Marketplace,2002,2006
651-655 Geary Street,Entitled,"651 Geary Blvd., San Francisco, CA 94102",-122.4511401,37.7820506,Unknown,41,5,0,5,On-Site,651-655 Geary Street,2004,
6900 Geary,Completed,"6900 Geary Blvd. , San Francisco, CA 94109",-122.4511401,37.7820506,Rental,17,2,0,2,On-Site,6900 Geary,2000,2004
6901 Geary Street,Completed,"6901 Geary Blvd. , San Francisco, CA 94103",-122.4313946,37.7844928,Rental,15,2,0,2,On-Site,6901 Geary Street,2001,2006
118 Wood Street,Completed,"2743 Geary Street, San Francisco, CA",-122.4131601,37.7867431,Rental,22,2,0,2,On-Site,118 Wood Street,1998,1999
5400 Geary Street ,Entitled,"5400 Geary Street, San Francisco, CA",-122.4131601,37.7867431,Ownership,37,4,0,4,On-Site,5400 Geary Street ,2013,
1277 Howard Street/776 Tehama Street,Completed,"1277 Howard Street , San Francisco, CA 94103",-122.4137689,37.774516,Ownership,14,2,0,2,On-Site,1277 Howard Street/776 Tehama Street,2003,2006
1234 Howard Street ,Completed,"1234 Howard Street , San Francisco, CA 94103",-122.4137689,37.774516,Ownership,18,2,0,2,On-Site,1234 Howard Street ,2002,2007
1390 Market (Fox Plaza),Entitled,"1390 Market Street, San Francisco, CA 94102",-122.4193286,37.7751124,Rental,250,19,0,19,On-Site,1390 Market (Fox Plaza),2009,
The Wilson Building,First Const Doc Issued,"973 Market Street , San Francisco, CA 94102",-122.4193286,37.7751124,Rental,67,8,0,8,On-Site,The Wilson Building,2005,
1321 Mission Street/104 - 9th Street ,First Const Doc Issued,"1321 Mission Street, San Francisco, CA 94105",-122.3925412,37.7937635,Rental,80,10,0,10,On-Site,1321 Mission Street/104 - 9th Street ,2013,
8 Octavia Blvd.,First Const Doc Issued,"4 Octavia Blvd. , San Francisco, CA 94102",-122.4237098,37.7729465,Ownership,48,7,0,7,On-Site,8 Octavia Blvd.,2012,
Unknown,BP Issued,"480 Potrero, San Francisco, CA 94110",-122.406025,37.7507995,Rental,75,11,0,11,On-Site,Unknown,2013,
2900 Sloat Blvd.,Completed,"2900 Sloat , San Francisco, CA 94116",-122.4837815,37.7342734,Ownership,60,6,0,6,On-Site,2900 Sloat Blvd.,1995,1996
2800 Sloat Boulevard,Entitled,"2800 Sloat Blvd. , San Francisco, CA 94116",-122.4837815,37.7342734,Unknown,56,1,0,1,On-Site,2800 Sloat Boulevard,2008,
77 Van Ness Avenue,Completed,"77 Van Ness Avenue, San Francisco, CA 94103",-122.4197119,37.77777,Ownership,50,6,0,6,On-Site,77 Van Ness Avenue,2002,2009
345 6th Street,Entitled,"345 6th Street, San Francisco, CA 94107",-122.4001104,37.7741835,Unknown,36,6,0,6,On-Site,345 6th Street,2009,
1311 43rd Avenue ,Completed,"1131 43rd Avenue, San Francisco, CA 94122",-122.5019301,37.7493796,Rental ,12,1,0,1,On-Site,1311 43rd Avenue ,2000,2004
100 Diana,Completed,"100 Diana Street, San Francisco, CA",-122.3961939,37.730747,Ownership,18,3,0,3,On-Site,100 Diana,1991,1996
410 Jessie Street ,Completed,"410 Jessie Street , San Francisco, CA 94103",-122.4153235,37.776716,Ownership,24,2,0,2,On-Site,410 Jessie Street ,2005,2007
6 Mint Plaza,Completed,"418 Jessie Street , San Francisco, CA 94103",-122.4153235,37.776716,Rental,25,3,0,3,On-Site,6 Mint Plaza,2004,2008
570 Jessie Street,Entitled,"570 Jessie Street , San Francisco, CA 94103",-122.4153235,37.776716,Unknown,47,2,0,2,On-Site,570 Jessie Street,2008,
The Lansing ,Completed,"40 Lansing , San Francisco, CA 94105",-122.3934434,37.7864732,Ownership,82,10,0,10,On-Site,The Lansing ,2003,2006
Book Concern Building,Completed,"83  McAllister Street , San Francisco, CA 94117",-122.4385113,37.777775,Ownership,60,6,0,6,On-Site,Book Concern Building,2004,2007
68 McCoppin ,Completed,"68 McCoppin, San Francisco, CA 94103",-122.4217592,37.7716315,Ownership,12,1,0,1,On-Site,68 McCoppin ,2002,1996
350 8th Street,BP Issued,"350 8th Street, San Francisco, CA 94103",-122.414157,37.7782442,Rental,416,62,0,62,On-Site,350 8th Street,2012,
555 Fulton Street,BP Issued,"555 Fulton Street, San Francisco, CA 94118",-122.471846,37.7731123,Ownership,139,17,0,17,On-Site,555 Fulton Street,2013,
199 New Montgomery ,Completed,"199 New Montgomery, San Francisco, CA 94105",-122.3999749,37.787011,Ownership,166,18,0,18,On-Site,199 New Montgomery ,2003,2006
2895 San Bruno Avenue,BP Issued,"2895 San Bruno Avenue, San Francisco, CA 94134",-122.401232,37.7145147,Ownership,10,1,0,1,On-Site,2895 San Bruno Avenue,2013,
299 Valencia Street,Completed,"299 Valencia Street , San Francisco, CA 94110",-122.4217398,37.7633052,Ownership,36,4,0,4,On-Site,299 Valencia Street,2008,2012
Avalon Ocean Avenue,Completed,"1150 Ocean Avenue , San Francisco, CA 94112",-122.4546813,37.7237981,Rental,173,26,0,26,On-Site,Avalon Ocean Avenue,2009,2012
Candlestick Cove,Completed,"101 Executive Park Blvd, San Francisco, CA",-122.3945995,37.709745,Ownership,150,18,0,18,On-Site,Candlestick Cove,2005,2008
USF - Loyola Village,Completed,"600 Anza St, San Francisco, CA",-122.452789,37.780296,Rental ,136,17,0,17,On-Site,USF - Loyola Village,1997,2002
Galvin Apartments ,Completed,"785 Brannan Street, San Francisco, CA",-122.4027776,37.77327289,Rental,0,0,0,56,Off-Site,The Palms,2005,2006
One Capitol Avenue,Entitled,"1 Capitol Avenue, San Francisco, CA 94112",-122.459104,37.710941,Ownership,0,0,0,17,Off-Site,800 Brotherhood Way,2010,
True Hope Square ,Completed,"950 Gilman Street, San Francisco, CA",-122.387036,37.717757,Ownership,0,0,0,20,Off-Site,The Infinity,2001,2007
Candlestick Heights,First Const Doc Issued,"833 Jamestown Avenue, San Francisco, CA 94124",-122.3928,37.717964,Rental,0,0,0,19,Off-Site,800 Brotherhood Way,2004,
125 Mason,Completed,"125 Mason Street, San Francisco, CA 94102",-122.4097508,37.7847614,Rental,0,0,0,81,Off-Site,Millennium Tower,2006,2008
1400 Mission Street,First Const Doc Issued,"1400 Mission Street, San Francisco, CA 94103",-122.416091,37.775243,Ownership,1,3,0,167,Off-Site,Lumina,2013,
Bayshore,Completed,"2428 Bayshore Blvd., San Francisco, CA 94134",-122.4037204,37.7112901,Ownership,0,0,0,12,Off-Site,"1635 California, 680 Illinois",2005,2006
1600 Market ,Completed,"1600 Market Street, San Francisco, CA 94102",-122.4193286,37.7751124,Ownership,0,0,0,23,Off-Site,Linea,2011,2014
888 7th Street,Completed,"601 King Street , San Francisco, CA 94107",-122.40084,37.770993,Ownership,80,27,0,170,Both On-Site and Off-Site,The Infinity,2003,2008
Garfield Building,Completed,"938 Market Street, San Francisco, CA 94102",-122.4193286,37.7751124,Ownership,15,2,0,13,Both On-Site and Off-Site,Ritz Carlton,2004,2007
25 Lusk Street,Entitled,"25 Lusk Street, San Francisco, CA 94107",-122.3943226,37.778429,Unknown,26,?,?,Unknown,,25 Lusk Street,2007,
201 Second Street,Entitled,"201 2nd Street, San Francisco, CA 94105",-122.398074,37.78675,Unknown,103,?,?,Unknown,,201 Second Street,2006,
801 Brannan,Entitled,"801 Brannan Street, San Francisco, CA",-122.403242,37.772906,Rental,432,55,0,55,,801 Brannan,2013,
325 Fremont,BP Issued,"325 Fremont Street , San Francisco, CA 94105",-122.3930894,37.78770777,Unknown,70,?,?,Unknown,,325 Fremont,2005,
375 Fremont Street,Entitled,"375 Fremont Street , San Francisco, CA 94105",-122.3924134,37.78716945,Unknown,225,?,?,Unknown,,375 Fremont Street,2005,
642 Harrison Street,Entitled,"642 Harrison Street, San Francisco, CA 94110",-122.3961635,37.78363455,Unknown,43,?,?,Unknown,,642 Harrison Street,2005,
153 Kearny,Entitled,"153 Kearny , San Francisco, CA",-122.4038759,37.78948125,Unknown,45,?,?,Unknown,,153 Kearny,2006,
693 Sutter Street,BP Issued,"693 Sutter Street, San Francisco, CA 94102",-122.4116545,37.78875369,Unknown,16,?,?,Unknown,,693 Sutter Street,2005,
715 - 719 Market Street ,Entitled,"715 Market Street, San Francisco, CA 94103",-122.4155702,37.7780831,Unknown,45,?,?,Unknown,,715 - 719 Market Street ,2006,
601 Crescent Way,Entitled,"601 Crescent Way , San Francisco, CA 94134",-122.3904317,37.7111294,Unknown,465,?,?,Unknown,,601 Crescent Way,2007,
555 and 575 Market Street,Entitled,"555  Market Street, San Francisco, CA 94105",-122.3999255,37.79000325,Unknown,134,?,?,Unknown,,555 and 575 Market Street,2002,
