label,Status,description,longitude,latitude,Tenure,Total Principal Project Units,Final BMR On-Site,Final BMR Off-Site,Total inclusionary units at this location,Units For,Principal project triggering inclusionary requirement,Entitlement year,Building completion year
Silver Park,Completed,"901 Bayshore Blvd., San Francisco, CA 94124",-122.4041373,37.73216636,Rental,40,4,0,4,On-Site,Silver Park,2003,2003
BaySide Vista,Completed,"2011 Bayshore Blvd. , San Francisco, CA 94134",-122.3988925,37.71504536,Ownership,64,6,0,6,On-Site,BaySide Vista,2007,2009
Embarcadero Lofts ,Completed,"300 Beale Street, San Francisco, CA 94105",-122.3924816,37.7883769,Ownership,67,6,0,6,On-Site,Embarcadero Lofts ,1995,1998
Bridgeview,Completed,"400 Beale Street, San Francisco, CA 94105",-122.391144,37.787309,Ownership,245,24,0,24,On-Site,Bridgeview,1997,2003
388 Beale ,Completed,"388 Beale Street, San Francisco, CA 94105",-122.3914772,37.78757498,Rental,23,23,0,23,On-Site,388 Beale ,1997,2003
Watermark,Completed,"501 Beale Street, San Francisco, CA 94105",-122.389487,37.786221,Ownership,135,16,0,16,On-Site,Watermark,2003,2006
77 Bluxome,Completed,"77 Bluxome Street , San Francisco, CA 94107",-122.3973351,37.77632537,Rental,102,10,0,10,On-Site,77 Bluxome,2004,2007
39 Boardman Place ,Completed,"39 Boardman Place, San Francisco, CA",-122.4032866,37.77499673,Ownership,14,1,0,1,On-Site,39 Boardman Place ,1995,1996
Union,Completed,"2101 Bryant Street, San Francisco, CA 94110",-122.409883,37.760367,Ownership,76,9,0,9,On-Site,Union,2003,2009
55 Laguna Street,First Const Doc Issued,"218 Buchanan Street, San Francisco, CA 94102",-122.4269286,37.77190838,Rental ,330,50,0,50,On-Site,55 Laguna Street,2012,
The Midtown,Completed,"1452 Bush Street , San Francisco, CA 94109",-122.4211854,37.7886708,Ownership,22,2,0,2,On-Site,The Midtown,2001,2004
901 Bush Street,Completed,"901 Bush Street , San Francisco, CA 94109",-122.412323,37.789625,Ownership,38,5,0,5,On-Site,901 Bush Street,2008,2008
2829 California,Completed,"2829 California  Street, San Francisco, CA 94115",-122.4409664,37.78791686,Ownership,12,2,0,2,On-Site,2829 California,2008,2012
376 Castro Street,Entitled,"376 Castro Street, San Francisco, CA 94114",-122.4353212,37.7629951,Ownership,24,3,0,3,On-Site,376 Castro Street,2012,
555 Bartlett,Completed,"3400 Cesar Chavez Street, San Francisco, CA 94110",-122.418375,37.74825,Ownership,58,9,0,9,On-Site,555 Bartlett,2007,2010
Villa North Beach,Completed,"690 Chestnut Street, San Francisco, CA",-122.4146301,37.80365754,Ownership,117,4,0,4,On-Site,Villa North Beach,1994,1997
520 Chestnut Street,Completed,"520 Chestnut Street, San Francisco, CA",-122.4120179,37.80399222,Ownership,20,2,0,2,On-Site,520 Chestnut Street,2004,2007
745 Clement ,Completed,"741 Clement Street, San Francisco, CA 94118",-122.4670212,37.78274653,Ownership,14,1,0,1,On-Site,745 Clement ,2000,2004
470 Clementina,Completed,"470 Clementina Street, San Francisco, CA",-122.4055479,37.77954029,Ownership,12,1,0,1,On-Site,470 Clementina,2005,2005
69 Clementina,Completed,"69 Clementina Street, San Francisco, CA 94105",-122.396481,37.786442,Ownership,18,2,0,2,On-Site,69 Clementina,2003,2005
436 Clementina,Completed,"436 Clementina Street, San Francisco, CA",-122.404847,37.78008949,Rental,20,3,0,3,On-Site,436 Clementina,2003,2008
Clipper Street,Completed,"672 Clipper , San Francisco, CA 94114",-122.4394479,37.74873432,Ownership,24,2,0,2,On-Site,Clipper Street,1997,2001
55 Trumbell,Completed,"4 Craut Street, San Francisco, CA 94112",-122.4284836,37.73065567,Rental,18,2,0,2,On-Site,55 Trumbell,2005,2011
"Candlestick Point - The Cove, Phase I",Completed,"1  Crescent Way , San Francisco, CA 94134",-122.390686,37.711082,Ownership,128,14,0,14,On-Site,"Candlestick Point - The Cove, Phase I",2002,2001
"Candlestick Point - The Cove,  Phase II",Completed,"301 Crescent Way , San Francisco, CA 94134",-122.3895787,37.71104571,Ownership,176,18,0,18,On-Site,"Candlestick Point - The Cove,  Phase II",2005,2007
606-624 Divisadero Street/1728 Hayes Street,Entitled,"606 Divisadero Street , San Francisco, CA 94117",-122.4377297,37.77516918,Unknown,18,2,0,2,On-Site,606-624 Divisadero Street/1728 Hayes Street,2004,
1598 Dolores,Completed,"1598 Dolores Street, San Francisco, CA 94110",-122.424632,37.744692,Ownership,13,1,0,1,On-Site,1598 Dolores,2005,2004
25-35 Dolores Street,BP Issued,"25 Dolores Street, San Francisco, CA",-122.4265731,37.76863615,Ownership,37,4,0,4,On-Site,25-35 Dolores Street,2011,
30 Dore Street ,Completed,"30 Dore Street , San Francisco, CA 94103",-122.4134112,37.77398205,Rental,42,4,0,4,On-Site,30 Dore Street ,2005,2007
149 Fair Oaks,Completed,"149 Fair Oaks St, San Francisco, CA",-122.4241108,37.75432435,Rental,12,1,0,1,On-Site,149 Fair Oaks,2001,2002
280 Fell / 300 Gough,Completed,"280 Fell Street, San Francisco, CA 94102",-122.4224062,37.77608222,Rental,34,4,0,4,On-Site,280 Fell / 300 Gough,1998,2000
Broderick Place,Completed,"1275 Fell Street  , San Francisco, CA 94117",-122.4387742,37.77382886,Ownership,70,8,0,8,On-Site,Broderick Place,2003,2007
Yerba Buena Lofts,Completed,"855 Folsom Street, San Francisco, CA 94107",-122.4022594,37.7807008,Ownership,200,20,0,20,On-Site,Yerba Buena Lofts,1999,2002
Shipley Square,Completed,"821 Folsom Street, San Francisco, CA 94107",-122.4015395,37.78160775,Ownership,78,8,0,8,On-Site,Shipley Square,2004,2004
The Folsom Lantern,Completed,"1168 Folsom Street, San Francisco, CA",-122.4095283,37.7757491,Rental,22,1,0,1,On-Site,The Folsom Lantern,2003,2005
Mosso,First Const Doc Issued,"900 Folsom Street, San Francisco, CA",-122.4042228,37.78009155,Rental ,269,40,0,40,On-Site,Mosso,2010,
181 Fremont,First Const Doc Issued,"181 Fremont Street, San Francisco, CA",-122.3953051,37.78947475,Ownership,74,11,0,11,On-Site,181 Fremont,2012,
344 Fulton,BP Issued,"344 Fulton Street, San Francisco, CA 94102",-122.4224797,37.77894222,Rental,69,8,0,8,On-Site,344 Fulton,2013,
3445 Geary (PM Name 3425 Geary),Completed,"3425 Geary Blvd, San Francisco, CA 94118",-122.455753,37.78133367,Rental,33,3,0,3,On-Site,3445 Geary (PM Name 3425 Geary),1997,2001
1828 Geneva,Completed,"1828 Geneva Avenue, San Francisco, CA 94134",-122.4240141,37.70946883,Rental,48,6,0,6,On-Site,1828 Geneva,2002,2008
888 Paris ,Completed,"965 Geneva Avenue , San Francisco, CA 94112",-122.4399148,37.71603318,Rental,67,8,0,8,On-Site,888 Paris ,2003,2004
525 Gough St,Completed,"525 Gough Street, San Francisco, CA 94102",-122.423327,37.77809249,Ownership,21,3,0,3,On-Site,525 Gough St,2002,2006
Landmark Union Sq.,Completed,"333 Grant Avenue, San Francisco, CA 94108",-122.405683,37.790182,Ownership,39,2,0,2,On-Site,Landmark Union Sq.,2003,2004
The Redstone,Completed,"1450 Greenwich Street, San Francisco, CA 94109",-122.4235904,37.80059618,Ownership,24,4,0,4,On-Site,The Redstone,2002,2004
300 Ivy ,Completed,"401 Grove Street, San Francisco, CA 94102",-122.423303,37.777714,Ownership,61,9,0,9,On-Site,300 Ivy ,2011,2013
400 Grove,First Const Doc Issued,"400 Grove Street, San Francisco, CA 94102",-122.423509,37.7779719,Ownership,34,4,0,4,On-Site,400 Grove,2013,
Haight Street Lofts,Completed,"645 Haight Street, San Francisco, CA 94117",-122.4328288,37.77171967,Ownership,20,3,0,3,On-Site,Haight Street Lofts,1992,1995
Harbor Lofts (AKA 400 Spear),Completed,"101 Harrison Street, San Francisco, CA 94105",-122.389466,37.788693,Ownership,12,2,0,2,On-Site,Harbor Lofts (AKA 400 Spear),1995,2003
3000 23rd Street,Completed,"2690 Harrison Street, San Francisco, CA 94110",-122.4121724,37.75445778,Rental ,54,7,0,7,On-Site,3000 23rd Street,2003,2006
Rincon Green,Completed,"333 Harrison Street, San Francisco, CA 94105",-122.3914299,37.78714151,Rental,326,49,0,49,On-Site,Rincon Green,2009,2013
870 Harrison Street,First Const Doc Issued,"870 Harrison Street, San Francisco, CA 94107",-122.4012329,37.77962986,Ownership,26,4,0,4,On-Site,870 Harrison Street,2009,
Hayes Street Gardens,Completed,"342 Hayes Street, San Francisco, CA 94102",-122.4220743,37.777081,Ownership,14,1,0,1,On-Site,Hayes Street Gardens,1995,2004
Unknown,Entitled,"450 Hayes Street, San Francisco, CA ",-122.4238809,37.77703295,Ownership,24,5,0,5,On-Site,Unknown,2013,
580 Hayes,Entitled,"580 Hayes Street, San Francisco, CA 94102",-122.4258812,37.77659641,Unknown,42,5,0,5,On-Site,580 Hayes,2008,
Las Casitas,Completed,"3338 17th St, San Francisco, CA 94110",-122.421247,37.763411,Ownership,60,6,0,6,On-Site,Las Casitas,1998,2000
348 Hyde,Completed,"336 Hyde Street, San Francisco, CA 94109",-122.4158564,37.7839041,Rental,12,1,0,1,On-Site,348 Hyde,1999,2004
168 Hyde Street,Completed,"168 Hyde Street, San Francisco, CA 94102",-122.4155241,37.78226569,Ownership,31,3,0,3,On-Site,168 Hyde Street,2008,2008
245-259 Hyde Street,Entitled,"245 Hyde Street, San Francisco, CA 94109",-122.4158785,37.78297662,Unknown,65,8,0,8,On-Site,245-259 Hyde Street,2008,
740 Illinois/2121 3rd Street ,First Const Doc Issued,"740 Illinois Street , San Francisco, CA 94107",-122.3878537,37.76255596,Rental,106,18,0,18,On-Site,740 Illinois/2121 3rd Street ,2011,
1578 Indiana,Completed,"1578 Indiana Street , San Francisco, CA 94107",-122.3905706,37.75044339,Ownership,12,2,0,2,On-Site,1578 Indiana,1998,2003
Millwheel South,Completed,"1275 Indiana Street , San Francisco, CA 94107",-122.3907169,37.75422542,Ownership,32,4,0,4,On-Site,Millwheel South,2004,2012
Millwheel North ,Entitled,"1275 Indiana Street , San Francisco, CA 94107",-122.3907169,37.75422542,Ownership,39,5,0,5,On-Site,Millwheel North ,2004,
180 Jones Street / 181 Turk Street,Entitled,"180 Jones Street, San Francisco, CA 94102",-122.4122591,37.78276882,Unknown,37,4,0,4,On-Site,180 Jones Street / 181 Turk Street,2009,
2545 Judah Street (AKA 1408 31st) ,Completed,"2545 Judah Street, San Francisco, CA 94122",-122.4892716,37.76107718,Rental,13,2,0,2,On-Site,2545 Judah Street (AKA 1408 31st) ,2002,2008
8 Landers,Completed,"8 Landers Street, San Francisco, CA 94114",-122.4279543,37.7675805,Ownership,14,1,0,1,On-Site,8 Landers,2003,2006
81 Lansing,Completed,"81 Lansing Street , San Francisco, CA 94105",-122.3940575,37.78587149,Ownership,33,3,0,3,On-Site,81 Lansing,1994,2002
545 Leavenworth,Completed,"545 Leavenworth , San Francisco, CA 94109",-122.4148445,37.78618672,Ownership,12,1,0,1,On-Site,545 Leavenworth,1999,2001
Magnolia Place,Completed,"1888 Lombard Street , San Francisco, CA 94123",-122.4324865,37.80037835,Rental ,27,3,0,3,On-Site,Magnolia Place,1999,2001
3208 Pierce ,Completed,"2298 Lombard Street , San Francisco, CA 94123",-122.4392,37.799526,Ownership,14,1,0,1,On-Site,3208 Pierce ,2004,2007
1130 Mariposa,Completed,"1130 Mariposa Street, San Francisco, CA",-122.3950747,37.76402506,Rental,23,2,0,2,On-Site,1130 Mariposa,1992,1999
"Trinity Plaza Apartments, Phase I",Completed,"1167 Market Street, San Francisco, CA 94103",-122.4139013,37.77926588,Rental,440,12,0,12,On-Site,"Trinity Plaza Apartments, Phase I",2006,2009
"Trinity Plaza Apartments, Phase II",Completed,"1167 Market Street, San Francisco, CA 94103",-122.4139013,37.77926588,Rental,417,63,0,63,On-Site,"Trinity Plaza Apartments, Phase II",2006,2013
"NEMA, Phase I (South Tower)",Completed,"1407 Market Street, San Francisco, CA 94103",-122.4175889,37.77634584,Rental,317,38,0,38,On-Site,"NEMA, Phase I (South Tower)",2007,2013
"Trinity Plaza Apartments, Phase IV",Entitled,"1167 Market Street, San Francisco, CA 94103",-122.4139013,37.77926588,Rental,493,74,0,74,On-Site,"Trinity Plaza Apartments, Phase IV",2006,
"NEMA, Phase II (North Tower)",First Const Doc Issued,"1407 Market Street, San Francisco, CA ",-122.4175889,37.77634584,Rental,437,52,0,52,On-Site,"NEMA, Phase II (North Tower)",2007,
2175 Market Street,First Const Doc Issued,"2175 Market Street, San Francisco, CA 94114",-122.4298728,37.7664465,Rental,88,13,0,13,On-Site,2175 Market Street,2012,
"Trinity Plaza Apartments, Phase III",First Const Doc Issued,"1167 Market Street, San Francisco, CA 94103",-122.4139013,37.77926588,Rental,550,83,0,83,On-Site,"Trinity Plaza Apartments, Phase III",2006,
