Year,Owner Move In,Ellis Act Withdrawal ,Demolition 
1997,1229,6,54
1998,1545,96,61
1999,872,423,50
2000,1013,274,71
2001,802,194,97
2002,548,176,75
2003,357,145,93
2004,345,303,67
2005,267,298,61
2006,227,262,42
2007,181,236,43
2008,169,194,38
2009,120,48,33
2010,127,70,31
2011,123,54,37
2012,174,99,43
2013,276,232,129
2014,197,74,24
