Year,Fault Eviction Notices,No Fault Eviction Notices
1997,0.42,0.58
1998,0.36,0.64
1999,0.40,0.60
2000,0.37,0.63
2001,0.41,0.59
2002,0.42,0.58
2003,0.52,0.48
2004,0.43,0.57
2005,0.51,0.49
2006,0.55,0.45
2007,0.63,0.37
2008,0.68,0.32
2009,0.78,0.22
2010,0.70,0.30
2011,0.77,0.23
2012,0.61,0.39
2013,0.61,0.39
2014,0.66,0.34
