Year,Owner Move In,Ellis Act Withdrawal ,Demolition ,Development Agreement,Condo Conversion 
1997,1229,6,54,,1
1998,1545,96,61,,1
1999,872,423,50,,2
2000,1013,274,71,,4
2001,802,194,97,,7
2002,548,176,75,,4
2003,357,145,93,,8
2004,345,303,67,,8
2005,267,298,61,,
2006,227,262,42,,3
2007,181,236,43,,3
2008,169,194,38,,2
2009,120,48,33,,2
2010,127,70,31,106,4
2011,123,54,37,,2
2012,174,99,43,232,11
2013,276,232,129,,12
2014,178,72,20,,5
