Tract2010,Afford_cnt,Afford_pct,RntCon_pct,RntCon_moe,GEOID10
30102,0,0.00000000000,84.77000000000,13.45000000000,06075030102
30101,0,0.00000000000,96.14000000000,14.16000000000,06075030101
26404,0,0.00000000000,53.80000000000,19.06000000000,06075026404
26403,81,7.23000000000,65.38000000000,20.13000000000,06075026403
30201,0,0.00000000000,95.59000000000,13.06000000000,06075030201
26401,92,8.66000000000,84.07000000000,24.36000000000,06075026401
26303,0,0.00000000000,61.85000000000,23.54000000000,06075026303
26302,14,0.92000000000,0.00000000000,0.00000000000,06075026302
26402,0,0.00000000000,0.00000000000,0.00000000000,06075026402
26200,6,0.30000000000,85.08000000000,20.32000000000,06075026200
26100,2,0.10000000000,88.39000000000,19.96000000000,06075026100
26003,0,0.00000000000,0.00000000000,0.00000000000,06075026003
26301,8,0.60000000000,85.43000000000,20.45000000000,06075026301
26004,0,0.00000000000,100.00000000000,21.61000000000,06075026004
26001,0,0.00000000000,95.80000000000,18.26000000000,06075026001
25900,0,0.00000000000,80.90000000000,20.76000000000,06075025900
25800,100,16.31000000000,0.00000000000,0.00000000000,06075025800
25600,0,0.00000000000,100.00000000000,15.20000000000,06075025600
25500,7,0.27000000000,95.14000000000,16.14000000000,06075025500
25401,217,16.05000000000,93.77000000000,12.60000000000,06075025401
26002,0,0.00000000000,0.00000000000,0.00000000000,06075026002
25403,159,10.39000000000,84.15000000000,13.56000000000,06075025403
25300,58,3.08000000000,92.49000000000,8.64000000000,06075025300
25200,64,2.84000000000,100.00000000000,6.31000000000,06075025200
25100,0,0.00000000000,92.09000000000,12.75000000000,06075025100
23400,265,25.38000000000,87.76000000000,33.86000000000,06075023400
23300,338,33.80000000000,0.00000000000,0.00000000000,06075023300
23200,0,0.00000000000,88.13000000000,20.06000000000,06075023200
25402,25,2.26000000000,82.99000000000,24.15000000000,06075025402
23102,466,36.64000000000,90.42000000000,17.91000000000,06075023102
22903,20,1.71000000000,86.89000000000,17.62000000000,06075022903
22902,2,0.24000000000,99.46000000000,11.73000000000,06075022902
23001,4,0.29000000000,89.56000000000,18.53000000000,06075023001
22802,63,10.00000000000,75.49000000000,36.06000000000,06075022802
22803,7,0.44000000000,88.35000000000,10.86000000000,06075022803
22901,166,11.07000000000,82.97000000000,17.07000000000,06075022901
22801,30,1.52000000000,88.74000000000,10.32000000000,06075022801
22702,2,0.19000000000,87.72000000000,15.95000000000,06075022702
22600,13,1.38000000000,0.00000000000,0.00000000000,06075022600
21800,2,0.11000000000,98.63000000000,7.79000000000,06075021800
21700,333,17.75000000000,83.18000000000,27.05000000000,06075021700
21600,104,4.80000000000,94.96000000000,22.60000000000,06075021600
21500,5,0.19000000000,98.63000000000,14.88000000000,06075021500
21400,0,0.00000000000,96.89000000000,10.19000000000,06075021400
21300,2,0.16000000000,98.25000000000,12.99000000000,06075021300
21200,0,0.00000000000,93.29000000000,10.73000000000,06075021200
21100,0,0.00000000000,89.21000000000,18.82000000000,06075021100
21000,1,0.05000000000,99.08000000000,9.24000000000,06075021000
20900,37,1.95000000000,90.97000000000,8.30000000000,06075020900
20800,6,0.22000000000,89.08000000000,11.66000000000,06075020800
20700,5,0.17000000000,95.39000000000,8.16000000000,06075020700
20600,114,4.06000000000,95.66000000000,12.94000000000,06075020600
20500,0,0.00000000000,96.35000000000,17.74000000000,06075020500
20300,50,2.81000000000,97.00000000000,9.09000000000,06075020300
20200,916,27.02000000000,83.47000000000,9.20000000000,06075020200
18000,303,19.00000000000,0.00000000000,0.00000000000,06075018000
17902,0,0.00000000000,89.22000000000,18.54000000000,06075017902
17700,0,0.00000000000,84.42000000000,29.83000000000,06075017700
20100,267,8.08000000000,78.77000000000,9.93000000000,06075020100
17601,2097,39.60000000000,60.84000000000,10.06000000000,06075017601
17000,0,0.00000000000,92.75000000000,10.90000000000,06075017000
16900,90,5.22000000000,96.52000000000,13.20000000000,06075016900
16700,3,0.12000000000,94.41000000000,10.05000000000,06075016700
16600,0,0.00000000000,91.55000000000,10.99000000000,06075016600
