Decade	Population	Total Housing Units (All Dwelling Units)
1860	56,802	
1870	149,473	
1880	233,959	
1890	298,997	
1900	342,782	
1910	416,912	
1920	506,676	
1930	634,394	
1940	634,536	222,176
1950	775,357	265,726
1960	740,316	310,559
1970	715,674	310,402
1980	678,974	316,608
1990	723,959	328,471
2000	776,733	346,527
2010	805,235	376,942
