label,latitude,longitude,accuracy,status
333 Fremont Street 94105,37.787367,-122.392773,8,First Const Doc Issued
340-350 Fremont Street 94105,37.787047,-122.392963,9,BP Issued
355-399 Fremont Street 94105,37.787249,-122.392627,8,First Const Doc Issued
325 Fremont Street 94105,37.787766,-122.392934,9,BP Issued
375 Fremont Street 94105,37.787054,-122.392387,8,Entitled
733 Front Street 94111,37.79805,-122.399952,9,Completed
555 Fulton Street 94118,37.778194,-122.42581,9,BP Issued
344 Fulton Street 94102,37.778892,-122.422466,8,BP Issued
3425 Geary Blvd 94118,37.781344,-122.455692,8,Completed
651-655 Geary Blvd. 94102,37.786529,-122.414037,9,Entitled
6900 Geary Blvd. (aka 499 33rd Ave.) 94109,37.780025,-122.493469,9,Completed
6901 Geary Blvd. (aka 501 33rd Street) 94103,37.779397,-122.493429,9,Completed
2743-2761 Geary Street 94103,37.781942,-122.448715,9,Completed
5400 Geary Street 94121,37.78114,-122.477591,9,Entitled
1828 Geneva Avenue 94134,37.709541,-122.423915,8,Completed
525-527 Gough Street 94102,37.778386,-122.423306,8,Completed
333 Grant Avenue 94108,37.790157,-122.405756,9,Completed
300 Grant Avenue 94103,37.789646,-122.405442,8,Entitled
1450 Greenwich Street 94109,37.800756,-122.423558,9,Completed
401 Grove Street 94102,37.777492,-122.42356,9,Completed
400 Grove Street 94102,37.777835,-122.423192,8,First Const Doc Issued
1728-48 Haight Street 94117,37.769658,-122.450932,9,Completed
645 Haight Street 94117,37.771751,-122.432844,9,Completed
2652 Harrison Street 94110,37.755107,-122.412477,9,Completed
101 Harrison Street 94105,37.788851,-122.38943,8,Completed
2690 Harrison Street 94110,37.754418,-122.4121,8,Completed
333 Harrison Street 94105,37.786552,-122.391306,9,Completed
870 Harrison Street 94107,37.779743,-122.401357,9,First Const Doc Issued
642 Harrison Street 94110,37.783826,-122.396438,9,Entitled
1 Hawthorne Street 94105,37.785736,-122.398952,9,Completed
342 Hayes Street 94102,37.777162,-122.422158,9,Completed
450 Hayes Street,37.776799,-122.423859,8,Entitled
580 Hayes Street 94102,37.776747,-122.425949,9,Entitled
1 Henry Adams 94103,37.769617,-122.403358,9,Entitled
88 Hoff /3338 17th St 94110,37.763582,-122.420916,9,Completed
1277 Howard Street 94103,37.775217,-122.412637,9,Completed
1234 Howard Street 94103,37.775995,-122.412507,9,Completed
1945 Hyde Street 94109,37.798814,-122.41923,9,Completed
336 Hyde Street 94109,37.784029,-122.415997,8,Completed
168 Hyde Street 94102,37.782402,-122.415481,9,Completed
245-259 Hyde Street 94109,37.783334,-122.415976,9,Entitled
680 Illinois Street 94107,37.763372,-122.387857,8,Completed
740 Illinois Street (and 2121 3rd Street) 94107,38.379071,-89.795667,9,First Const Doc Issued
1578 Indiana Street 94107,37.750474,-122.390696,9,Completed
1275-1301 Indiana Street 94107,37.7539,-122.390782,8,Completed
1275-1301 Indiana Street 94107,37.7539,-122.390782,8,Completed
833-881 Jamestown Avenue 94124,37.716825,-122.390662,8,First Const Doc Issued
16 Jessie (aka One Ecker Place) 94105,37.789822,-122.39914,5,Completed
410 Jessie Street 94103,37.783184,-122.407694,9,Completed
418-420 Jessie Street 94103,37.782635,-122.407747,8,Completed
570 Jessie Street 94103,37.780821,-122.410316,9,Entitled
180 Jones Street 94102,37.782898,-122.412383,8,Entitled
2545 Judah Street 94122,37.760901,-122.489529,9,Completed
153 Kearny 94133,37.789511,-122.404162,9,Entitled
