Decade,Population,Total Housing Units (All Dwelling Units)
1860,"56802",
1870,"149473",
1880,"233959",
1890,"298997",
1900,"342782",
1910,"416912",
1920,"506676",
1930,"634394",
1940,"634536","222176"
1950,"775357","265726"
1960,"740316","310559"
1970,"715674","310402"
1980,"678974","316608"
1990,"723959","328471"
2000,"776733","346527"
2010,"805235","376942"
