Proj_Key,label,Address Number,Street,Zipcode,description,longitude,latitude,geo_accuracy,Sponsor,Affordable Units,Beds,Target Population,status,Affordability Requirement Year
161,"Ritz Hotel/NOMDC, L.P.",216,Eddy St,94102,216 Eddy St San Francisco CA 94102,-122.411176,37.78418,0.963,TNDC,90,0,Singles,Completed,1992
163,Franciscan Towers,217,Eddy St,94102,217 Eddy St San Francisco CA 94102,-122.411148,37.784033,0.963,TNDC,105,0,Singles,Completed,1993
166,Madrid Hotel,22,South Park Ave,94107,22 South Park Ave San Francisco CA 94107,-122.392981,37.782423,0.948,MHDC,44,0,Singles,Completed,1985
167,Richard M. Cohen Residence,220,Dolores St,94103,220 Dolores St San Francisco CA 94103,-122.426667,37.765858,0.955,Dolores Street Community Services,8,0,Singles,Completed,1994
168,Pierce Street Apts.,220,Pierce,94117,220 Pierce San Francisco CA 94117,-122.433691,37.77189,0.868,TNDC,8,0,Families,Completed,2001
171,Women's Hope,2261,Bryant St,94110,2261 Bryant St San Francisco CA 94110,-122.40956,37.758223,0.958,MHDC / Healthright360,16,0,Families,Completed,1987
174,2300 Van Ness Apts,2300,Van Ness Ave,94109,2300 Van Ness Ave San Francisco CA 94109,-122.423601,37.79669,0.854,"Asian, Inc.",22,0,Families,Completed,2000
180,Woolf House III,801,Howard ST,94103,801 Howard ST San Francisco CA 94103,-122.402708,37.783259,0.958,TODCO,30,0,Seniors,Completed,1997
189,Plaza Ramona,250,McAllister St,94102,250 McAllister St San Francisco CA 94102,-122.416138,37.780614,0.949,TNDC,63,0,Singles & Families,Completed,1996
197,Swords to Plowshares - Demontfort,42,Demontfort St,94112,42 Demontfort St San Francisco CA 94112,-122.458526,37.72373,0.871,Swords to Plowshares,15,0,Singles,Completed,1983
200,St Olga's Home,275,Collins St,94118,275 Collins St San Francisco CA 94118,-122.450002,37.781074,0.955,Russian American Community Svcs,0,14,Singles,Completed,1991
204,2782-24th Street,2782,24th St,94110,2782 24th St San Francisco CA 94110,-122.40777,37.752945,0.898,MHDC,3,0,Seniors,Completed,1994
211,16th Street Apt.,2945,16th St,94103,2945 16th St San Francisco CA 94103,-122.418273,37.765048,0.898,MHDC,8,0,Families,Completed,1987
212,Magdalena Mora House,2973,26th St,94110,2973 26th St San Francisco CA 94110,-122.409159,37.7495,0.898,BHNC,2,0,Families,Completed,1997
213,Heritage Homes,243,Rey Street,94134,243 Rey Street San Francisco CA 94134,-122.412681,37.710292,0.833,Mercy Housing,148,0,Families,Completed,2001
214,3019 - 23rd St. Apt.,3019,23rd St,94110,3019 23rd St San Francisco CA 94110,-122.412366,37.754131,0.898,MHDC,5,0,Families,Completed,1991
216,Altamont Hotel,3048,16th Street,94103,3048 16th Street San Francisco CA 94103,-122.420713,37.765061,0.882,MHDC,88,0,Singles,Completed,1997
220,Bernal Gateway,3101,Mission St,94110,3101 Mission St San Francisco CA 94110,-122.418221,37.748166,0.955,BHNC,55,0,Families,Completed,2001
231,Del Carlo Court,3330,Cesar Chavez St,94110,3330 Cesar Chavez St San Francisco CA 94110,-122.416464,37.748314,0.946,MHDC,25,0,Families,Completed,1992
236,"Dalt Hotel/NOMDC, L.P.",34,Turk ST,94102,34 Turk ST San Francisco CA 94102,-122.409488,37.783444,0.963,TNDC,178,0,Singles,Completed,2004
237,The Nathan Building,340,Eddy St,94102,340 Eddy St San Francisco CA 94102,-122.413235,37.783924,0.963,IHDC,82,0,Families,Completed,1982
240,18th Street Apt.,3434,18th St,94110,3434 18th St San Francisco CA 94110,-122.420215,37.761857,0.898,MHDC,8,0,Singles,Completed,1983
242,Notre Dame Senior Housing,347,Dolores St,94110,347 Dolores St San Francisco CA 94110,-122.426222,37.763953,0.955,Mercy Housing,66,0,Seniors,Completed,1997
245,Casa Quezada,35,Woodward St,94103,35 Woodward St San Francisco CA 94103,-122.42082,37.769337,0.953,Dolores Street Community Services,52,0,Singles,Completed,1985
250,Dunleavy Plaza,36,HOFF,94110,36 HOFF San Francisco CA 94110,-122.420614,37.764417,0.847,MHDC,49,0,Families,Completed,1985
253,Moultrie House,374,Moultrie St,94110,374 Moultrie St San Francisco CA 94110,-122.415929,37.739351,0.953,BHNC,9,0,Singles & Families,Completed,1993
255,375 Eddy Street,375,Eddy St,94102,375 Eddy St San Francisco CA 94102,-122.413613,37.783712,0.963,IHDC,35,0,Singles,Completed,1993
257,Cadillac Hotel,380,Eddy St,94102,380 Eddy St San Francisco CA 94102,-122.413782,37.783837,0.963,Reality House West,158,0,Singles,Completed,1992
260,Hamlin Hotel,385,Eddy St,94102,385 Eddy St San Francisco CA 94102,-122.413776,37.783686,0.963,CCDC,69,0,Singles,Completed,1991
261,Aarti Hotel,391,Leavenworth Street,94102,391 Leavenworth Street San Francisco CA 94102,-122.414476,37.784582,0.942,TNDC,40,0,Singles,Completed,1991
262,Carmelita Apartments,391,Valencia St,94103,391 Valencia St San Francisco CA 94103,-122.421997,37.766691,0.953,HDNPC,40,0,Families,Completed,1990
264,Haight Street Apts.,398,Haight St,94102,398 Haight St San Francisco CA 94102,-122.428801,37.772316,0.958,TNDC,12,0,Families,Completed,1989
268,Apollo Hotel,420,Valencia St,94103,420 Valencia St San Francisco CA 94103,-122.422085,37.766103,0.953,MHDC,80,0,Singles,Completed,1998
269,Sierra Madre Apts,421,Leavenworth,94102,421 Leavenworth San Francisco CA 94102,-122.414552,37.784943,0.89,TNDC,46,0,Singles & Families,Completed,1984
271,Eddy Street Apts (CATS),425,Eddy St,94109,425 Eddy St San Francisco CA 94109,-122.414663,37.783744,0.841,CATS,25,0,Seniors,Completed,1997
276,Civic Center Residence,44,McAllister St,94102,44 McAllister St San Francisco CA 94102,-122.412872,37.781076,0.949,TNDC,211,0,Singles,Completed,1991
277,Lassen Apartments,441,Ellis St,94102,441 Ellis St San Francisco CA 94102,-122.413367,37.784782,0.96,"Asian, Inc. / AF Evans",81,0,Seniors,Completed,1982
280,450 Ellis St Apts,450,Ellis St,94102,450 Ellis St San Francisco CA 94102,-122.41343,37.784696,0.838,"Asian, Inc.",29,0,Families,Completed,1986
282,Klimm Apts,460,Ellis St,94102,460 Ellis St San Francisco CA 94102,-122.413748,37.784734,0.96,TNDC,41,0,Singles,Completed,1987
286,Cambridge Hotel,473,Ellis St,94102,473 Ellis St San Francisco CA 94102,-122.413748,37.784734,0.96,CHP,59,0,Singles,Completed,1991
288,Yosemite Apts,480,Eddy St,94109,480 Eddy St San Francisco CA 94109,-122.415386,37.783627,0.963,TNDC,32,0,Singles,Completed,1984
289,Arlington Hotel,472,Ellis St,94102,472 Ellis St San Francisco CA 94102,-122.413748,37.784734,0.838,Mercy Housing,153,0,Singles,Completed,1988
290,Plaza del Sol,440,Valencia St,94103,440 Valencia St San Francisco CA 94103,-122.421964,37.76572,0.953,MHDC,59,0,Families,Completed,1994
291,Cameo Apartments,481,Eddy St,94109,481 Eddy St San Francisco CA 94109,-122.415389,37.783475,0.963,TNDC,31,0,Singles,Completed,1985
292,Maria Alicia Apartments,3090,16th St,94103,3090 16th St San Francisco CA 94103,-122.421539,37.764861,0.776,MHDC,11,0,Families,Completed,1989
297,Reardon Heights,50,REARDON Rd,94124,50 REARDON Rd San Francisco CA 94124,-122.377245,37.729862,0.955,"Reardon Heights Associates, L.P.",82,0,Families,Completed,1985
299,MARIPOSA GARDENS APARTMENTS,2445,MARIPOSA ST,94110,2445 MARIPOSA ST San Francisco CA 94110,-122.407653,37.763083,0.953,MHDC,63,0,Families,Completed,2005
305,518 MINNA STREET APARTMENTS,518,MINNA ST,94103,518 MINNA ST San Francisco CA 94103,-122.408546,37.780259,0.96,"ASIAN, INC.",24,0,Families,Completed,1994
306,SENATOR RESIDENCE,519,Ellis St,94109,519 Ellis St San Francisco CA 94109,-122.414778,37.784613,0.96,CHP,86,0,Singles,Completed,2005
312,525 O'Farrell Apartments,525,OFarrell St,94102,525 OFarrell St San Francisco CA 94102,-122.413288,37.785662,0.953,"Asian, Inc.",26,0,Families,Completed,1990
314,Swiss American,534,Broadway,94133,534 Broadway San Francisco CA 94133,-122.40629,37.797834,0.838,CCDC,66,0,Singles,Completed,1985
316,Dorothy Day Community,54,McAllister ST,94102,54 McAllister ST San Francisco CA 94102,-122.41321,37.78106,0.949,Mercy Housing,99,0,Seniors,Completed,1986
320,555 ELLIS STREET FAMILY APARTMENTS,555,Ellis St,94109,555 Ellis St San Francisco CA 94109,-122.415226,37.784465,0.96,ASIAN NEIGHBORHOOD DESIGN,37,0,Families,Completed,1995
324,575 Eddy St Apts,575,Eddy St,94109,575 Eddy St San Francisco CA 94109,-122.416991,37.783265,0.963,"Asian, Inc.",47,0,Singles & Families,Completed,1992
325,St. Claire Hotel,585,Geary,94102,585 Geary San Francisco CA 94102,-122.41282,37.786681,0.859,CCDC,40,0,Families,Completed,1987
338,Geary Courtyard,639,Geary,94102,639 Geary San Francisco CA 94102,-122.413755,37.786575,0.859,Geary Courtyard Associates,33,0,Singles & Families,Completed,1989
342,Webster Apartments,650,Webster St,94117,650 Webster St San Francisco CA 94117,-122.429626,37.776513,0.833,Progress Foundation,8,0,Seniors,Completed,1993
343,Clayton Hotel,657,Clay,94111,657 Clay San Francisco CA 94111,-122.403875,37.79447,0.847,CCDC,82,0,Seniors,Completed,1984
352,Alcantara Court,670,Valencia St,94110,670 Valencia St San Francisco CA 94110,-122.421715,37.76228,0.953,MHDC,50,0,Seniors,Completed,1994
355,Moss Street Apt.,70,Moss St,94103,70 Moss St San Francisco CA 94103,-122.408025,37.777487,0.963,MHDC,5,0,Singles,Completed,1983
359,Canon Kip Community House,705,Natoma St,94103,705 Natoma St San Francisco CA 94103,-122.412155,37.776558,0.958,Episcopal Community Services,104,0,Singles,Completed,1994
362,Tennessee Street Housing Corp.,712,TENNESSEE St,94107,712 TENNESSEE St San Francisco CA 94107,-122.389796,37.762824,0.951,Tennessee Street Housing Corp.,6,0,Families,Completed,1982
365,Baker's Dozen,733,Baker St,94115,733 Baker St San Francisco CA 94115,-122.441801,37.777664,0.96,No.Calif.Land Trust,,13,Singles,Completed,1991
366,735 Ellis Apts,735,Ellis St,94109,735 Ellis St San Francisco CA 94109,-122.41815,37.78409,0.96,"Asian, Inc.",30,0,Families,Completed,1987
367,Mendelsohn House,737,Folsom St,94107,737 Folsom St San Francisco CA 94107,-122.39954,37.783069,0.958,TODCO,189,0,Seniors,Completed,1988
368,Tower 737 (aka Post Street Towers),737,Post St,94109,737 Post St San Francisco CA 94109,-122.413818,37.787512,0.963,Sequoia Equities,50,0,Singles & Families,Completed,1986
376,"Bayside Elderly Housing, Inc.",777,Broadway,94133,777 Broadway San Francisco CA 94133,-122.409689,37.797492,0.96,CCDC,30,0,Seniors,Completed,1989
384,Iroquois Hotel,835,OFarrell Street,94109,835 OFarrell Street San Francisco CA 94109,-122.418341,37.785021,0.946,CHP,74,0,Singles & Families,Completed,1995
385,City Heights Apts (aka Avalon Nob Hill),840,Post Street,94109,840 Post Street San Francisco CA 94109,-122.415537,37.787443,0.953,"Bay Apartment Communities, Inc",37,0,Singles & Families,Completed,1987
394,Capp Street Apt.,890,Capp St,94110,890 Capp St San Francisco CA 94110,-122.417473,37.752431,0.963,MHDC,4,0,Families,Completed,1982
395,Hayes Adult Residence,890,Hayes,94117,890 Hayes San Francisco CA 94117,-122.430759,37.775924,0.859,HealthRIGHT360,,115,Singles,Completed,1992
400,Junipero Serra House,926,Fillmore,94117,926 Fillmore San Francisco CA 94117,-122.431552,37.778032,0.88,Mercy Housing,25,0,Singles,Completed,1989
405,Leland Apartments,980,Howard ST,94103,980 Howard ST San Francisco CA 94103,-122.406618,37.780085,0.958,TODCO,24,0,Families,Completed,1998
489,Geraldine Johnson Manor,5545,3rd St,94124,5545 3rd St San Francisco CA 94124,-122.393227,37.727351,0.884,Bayview Senior Housing (Bridge / SFHDC),54,0,Seniors,Completed,1998
