Proj_Key,label,Address Number,Street,Zipcode,description,longitude,latitude,geo_accuracy,Sponsor,Affordable Units,Beds,Target Population,status,Affordability Requirement Year
1093,Rich Sorro Commons,150,Berry St,94107,150 Berry St San Francisco CA 94107,-122.392075,37.776705,0.96,MHDC,100,0,Families,Completed,2002
1095,PARAMOUNT,680,MISSION ST,94105,680 MISSION ST San Francisco CA 94105,-122.401579,37.78664,0.955,THIRD & MISSION ASSOCIATES LLC,99,0,Singles & Families,Completed,2001
1099,Holloway House,538,Holloway Ave,94112,538 Holloway Ave San Francisco CA 94112,-122.458496,37.721914,0.951,Larkin Street Youth Services,0,9,Singles,Completed,1987
1135,111 JONES STREET APARTMENTS,111,JONES ST,94102,111 JONES ST San Francisco CA 94102,-122.41231,37.782156,0.96,MERCY HOUSING,108,0,Families,Completed,1993
1136,STEAMBOAT POINT (Parcel K),49,Townsend Street,94107,49 Townsend Street San Francisco CA 94107,-122.388996,37.781711,0.946,Bridge Housing,108,0,Families,Completed,1992
1137,Padre Palou Community,3400,16th St,94114,3400 16th St San Francisco CA 94114,-122.428665,37.764508,0.898,MERCY HOUSING,18,0,Families,Completed,1992
1138,Progress Apartments,1272,S. VAN NESS AVE,94110,1272 S. VAN NESS AVE San Francisco CA 94110,-122.416402,37.752791,0.948,Progress Foundation,11,0,Singles,Completed,1992
1139,El Dorado Hotel,150,9th Street,94103,150 9th Street San Francisco CA 94103,-122.414064,37.775797,0.746,Conard House,57,0,Singles,Completed,2013
1140,WASHBURN HOTEL,38,Washburn Street,94103,38 Washburn Street San Francisco CA 94103,-122.414725,37.775376,0.946,Conard House,24,0,Singles,Completed,1991
1143,Odyssey House,484,Oak Street,94102,484 Oak Street San Francisco CA 94102,-122.427023,37.774491,0.955,Baker Places,,10,Singles,Completed,2008
1144,VISTA DEL MONTE APARTMENTS,49,Gold Mine Drive,94131,49 Gold Mine Drive San Francisco CA 94131,-122.437338,37.743914,0.824,NATIONAL FARM WORKERS SERVICE CENTER,104,0,Singles & Families,Completed,1996
1145,Diamond View Apartments,173,Addison St,94131,173 Addison St San Francisco CA 94131,-122.432837,37.738095,0.955,Diamond View Residents Association,58,0,Families,Completed,1996
1150,TIHDI - Catholic Charities Phases 1 & 2,1403,Sturgeon,94130,1403 Sturgeon San Francisco CA 94130,-122.376556,37.825846,0.88,Catholic Charities,66,0,Families,Completed,2000
1151,FOTEP (TIHDI),1440,Chinook Ct,94130,1440 Chinook Ct San Francisco CA 94130,-122.374971,37.823805,0.955,HealthRight360,6,0,Singles,Completed,2000
1152,TIHDI - Walden House,1445,Chinook Ct,94130,1445 Chinook Ct San Francisco CA 94130,-122.374817,37.823709,0.955,HealthRight360,,26,Singles,Completed,2000
1153,TIHDI - Swords to Plowshares,1432,Halibut,94130,1432 Halibut San Francisco CA 94130,-122.375896,37.824709,0.875,Swords to Plowshares,,56,Singles,Completed,1999
1155,Bryant Street Apt.,2800,Bryant St,94110,2800 Bryant St San Francisco CA 94110,-122.408825,37.749601,0.958,MHDC,7,0,Families,Completed,1983
1164,NAMIKI APARTMENTS,1776,SUTTER ST,94115,1776 SUTTER ST San Francisco CA 94115,-122.429355,37.786625,0.958,CCDC / NAMIKI APTS RES. ASSOC,33,0,Seniors,Completed,2003
1167,SOMA Studios,1188,Howard ST,94103,1188 Howard ST San Francisco CA 94103,-122.411061,37.776536,0.836,TNDC,88,0,Singles,Completed,2003
1169,MARLTON MANOR,240,Jones St,94102,240 Jones St San Francisco CA 94102,-122.412401,37.783419,0.96,MERCY HOUSING,150,0,Singles & Families,Completed,2004
1170,RIDGEVIEW TERRACE APARTMENTS,140,CASHMERE ST,94124,140 CASHMERE ST San Francisco CA 94124,-122.384336,37.736048,0.953,RIDGEVIEW TERRACE AFFORDABLE HOUSING INC.,100,0,Families,Completed,2001
1173,Friendship House,56,Julian Ave,94103,56 Julian Ave San Francisco CA 94103,-122.421216,37.767293,0.955,Friendship House,,80,Singles,Completed,2005
1183,Cameo House,424,Guerrero St,94110,424 Guerrero St San Francisco CA 94110,-122.423948,37.76442,0.831,Center on Juvenile & Criminal Justice,11,0,Families,Completed,2001
1185,665 Clay Street,665,Clay,94111,665 Clay San Francisco CA 94111,-122.403982,37.794453,0.847,CCDC,25,0,Singles,Completed,2002
1187,Church Street Apartments,1,Church St,94114,1 Church St San Francisco CA 94114,-122.429225,37.770351,0.958,Bridge Housing,93,0,Families,Completed,2002
1188,Carter Terrace,530,Carter,94134,530 Carter San Francisco CA 94134,-122.423823,37.70839,0.868,Mercy Housing,101,0,Families,Completed,2004
1189,Kokoro Assisted Living Facility,1881,Bush St,94109,1881 Bush St San Francisco CA 94109,-122.427924,37.787616,0.963,Japanese American Relig. Fed Assi living Facil Inc,37,0,Seniors,Completed,2003
1190,O'FARRELL TOWERS,477,OFarrell Street,94102,477 OFarrell Street San Francisco CA 94102,-122.4125,37.785761,0.946,TNDC,101,0,Seniors,Completed,2000
1191,Notre Dame Apartments,1590,Broadway,94109,1590 Broadway San Francisco CA 94109,-122.422974,37.795827,0.96,CCDC,202,0,Seniors,Completed,2004
1192,MARIA MANOR,174,Ellis St,94102,174 Ellis St San Francisco CA 94102,-122.409088,37.7854,0.96,TNDC,118,0,Seniors,Completed,2004
1196,Providence Senior Housing,4601,3RD St,94124,4601 3RD St San Francisco CA 94124,-122.390145,37.73639,0.884,PROVIDENCE SENIOR HOUSING CORPORATION,50,0,Seniors,Completed,2008
1197,TIHDI CHP Island Bay Homes,1411,Flounder Ct,94130,1411 Flounder Ct San Francisco CA 94130,-122.375519,37.825797,0.953,CHP,66,0,Families,Completed,2002
1204,St. Joe's Family Shelter,899,Guerrero St,94110,899 Guerrero St San Francisco CA 94110,-122.42333,37.756769,0.953,Catholic Charities,,20,Singles,Completed,1991
1208,8th & Howard Family Housing,1166,Howard ST,94103,1166 Howard ST San Francisco CA 94103,-122.41088,37.776822,0.958,TNDC,74,0,Families,Completed,2003
1210,Jelani Family Program,1638,Kirkwood Ave,94124,1638 Kirkwood Ave San Francisco CA 94124,-122.390409,37.738581,0.951,"Jelani, Inc.",,12,Families,Completed,2000
1219,421 Turk,421,Turk ST,94102,421 Turk ST San Francisco CA 94102,-122.416419,37.782543,0.841,"Asian, Inc.",29,0,Families,Completed,2004
1228,Hartland Hotel,909,Geary St,94109,909 Geary St San Francisco CA 94109,-122.418183,37.786009,0.96,Tenderloin Housing Clinic,135,0,Singles,Completed,2004
1229,TIHDI - Rubicon Program,410,Avenue of the Palms,94130,410 Avenue of the Palms San Francisco CA 94130,-122.373228,37.818926,0.941,Rubicon,44,0,Families,Completed,2002
1230,Padre Apartments,241,Jones ST,94102,241 Jones ST San Francisco CA 94102,-122.412545,37.783372,0.96,Mercy Housing,41,0,Seniors,Completed,2004
1231,MLK/Marcus Garvey Cooperative Apartments,1680,Eddy St,94115,1680 Eddy St San Francisco CA 94115,-122.435045,37.781122,0.963,MARTIN LUTHER KING - MARCUS GARVEY SQ COOP APT INC,211,0,Families,Completed,2011
1232,Ocean Beach Apartments,720,La Playa St,94121,720 La Playa St San Francisco CA 94121,-122.510072,37.77475,0.953,A.F. EVANS COMPANY INC.,84,0,Singles & Families,Completed,2003
1234,10th & Mission Family Housing,1390,Mission ST,94103,1390 Mission ST San Francisco CA 94103,-122.415794,37.775404,0.955,Mercy Housing,136,0,Families,Completed,2009
1235,SENECA HOTEL,32,6th Street,94103,32 6th Street San Francisco CA 94103,-122.409728,37.781816,0.746,Tenderloin Housing Clinic,204,0,Singles,Completed,2002
1243,Curran House,145,Taylor,94102,145 Taylor San Francisco CA 94102,-122.410863,37.783701,0.868,TNDC,67,0,Families,Completed,2005
1244,1340 Portola Drive,1340,Portola Dr,94127,1340 Portola Dr San Francisco CA 94127,-122.464923,37.73962,0.833,West Bay Housing Corporation,,6,Singles,Completed,2001
1245,DUDLEY APARTMENTS,172,6th St,94103,172 6th St San Francisco CA 94103,-122.407627,37.779992,0.884,MERCY HOUSING,74,0,Singles,Completed,2003
1246,DEREK SILVA COMMUNITY,20,Franklin St,94102,20 Franklin St San Francisco CA 94102,-122.42074,37.774629,0.953,MERCY HOUSING,68,0,Singles,Completed,2005
1247,Curry Senior Center Apartments,315,Turk St,94102,315 Turk St San Francisco CA 94102,-122.414227,37.782689,0.963,Curry Senior Center,14,0,Seniors,Completed,2003
1249,Haight Street Senior Housing,1250,Haight St,94117,1250 Haight St San Francisco CA 94117,-122.442574,37.77062,0.958,TNDC,40,0,Seniors,Completed,2007
1250,International Hotel,848,Kearny Street,94108,848 Kearny Street San Francisco CA 94108,-122.405112,37.796067,0.949,CCDC,105,0,Seniors,Completed,2005
1255,North Beach Place,455,Bay Street,94133,455 Bay Street San Francisco CA 94133,-122.414305,37.805433,0.955,Bridge Housing,341,0,Families,Completed,2004
1256,Leland Hotel/Polk St. Senior Community,1315,Polk St,94109,1315 Polk St San Francisco CA 94109,-122.420418,37.78892,0.963,Mercy Housing,72,0,Seniors,Completed,2005
1257,Geary/Polk Senior Housing,990,Polk St,94109,990 Polk St San Francisco CA 94109,-122.419631,37.785829,0.963,TNDC,110,0,Seniors,Completed,2008
1258,Folsom/Dore Apartments,1346,Folsom St,94103,1346 Folsom St San Francisco CA 94103,-122.412133,37.773354,0.958,TNDC,98,0,Singles & Families,Completed,2005
1306,Armstrong Place,5600,3rd St,94124,5600 3rd St San Francisco CA 94124,-122.39357,37.72698,0.884,Bridge Housing,116,0,Seniors,Completed,2011
1309,McAllister Street Co-ops,1840,McAllister St,94115,1840 McAllister St San Francisco CA 94115,-122.44222,37.777361,0.949,Conard House,,10,Singles,Completed,2003
1311,Mission Creek Senior Community,201,Berry St,94158,201 Berry St San Francisco CA 94158,-122.395638,37.774076,0.838,Mercy Housing,139,0,Seniors,Completed,2006
1317,The Coronet,3595,Geary Blvd,94118,3595 Geary Blvd San Francisco CA 94118,-122.457754,37.781384,0.833,Bridge Housing,148,0,Seniors,Completed,2008
1322,VALENCIA GARDENS,340,Valencia St,94103,340 Valencia St San Francisco CA 94103,-122.422079,37.767551,0.831,MHDC,260,0,Families,Completed,2005
1323,Mosaica Family Apartments,680,Florida St,94110,680 Florida St San Francisco CA 94110,-122.411082,37.760655,0.955,TNDC,93,0,Families,Completed,2008
1325,PLAZA APARTMENTS,988-992,Howard St,94103,988-992 Howard St San Francisco CA 94103,-122.406813,37.77989,0.86,PUBLIC INITIATIVES DEVELOPMENT CORPORATION,106,0,Singles,Completed,2005
1331,Westbrook Plaza (Batmale),227,7th St,94103,227 7th St San Francisco CA 94103,-122.40901,37.777703,0.884,Mercy Housing/SOMA Health Center,48,0,Families,Completed,2010
1395,Herald Hotel Apartments,302,Eddy St,94102,302 Eddy St San Francisco CA 94102,-122.412595,37.783932,0.841,"Citizens Housing/RHC Communities, Inc.",72,0,Singles,Completed,2004
1399,Edith Witt Senior Housing,66,9th St,94103,66 9th St San Francisco CA 94103,-122.415298,37.776587,0.884,Mercy Housing,107,0,Singles,Completed,2008
1400,MARY HELEN ROGERS (PARCEL C),701,Golden Gate Ave,94102,701 Golden Gate Ave San Francisco CA 94102,-122.422087,37.78082,0.946,CCDC,99,0,Seniors,Completed,2012
1411,Rose Court,2501,Pine Street,94115,2501 Pine Street San Francisco CA 94115,-122.436935,37.787532,0.953,St Rose Corp,18,0,Seniors,Completed,2001
1437,Hotel Essex,684,Ellis St,94109,684 Ellis St San Francisco CA 94109,-122.417192,37.78434,0.96,CHP,84,0,Singles,Completed,2008
1440,Arnett Watson Apartments,650,Eddy St,94109,650 Eddy St San Francisco CA 94109,-122.418316,37.783277,0.963,CHP,83,0,Families,Completed,2008
1441,Bishop Swing Community House,275,10th St,94103,275 10th St San Francisco CA 94103,-122.413222,37.773121,0.898,Episcopal Community Services,135,0,Singles,Completed,2009
1448,Embarcadero Triangle (Parcel J),600,THE EMBARCADERO,94107,600 THE EMBARCADERO San Francisco CA 94107,-122.388023,37.784773,0.946,Delancey Street Foundation,177,0,Singles,Completed,1990
1454,Mission Hotel,520,South Van Ness AVE,94110,520 South Van Ness AVE San Francisco CA 94110,-122.417537,37.764849,0.942,Tenderloin Housing Clinic,248,0,Singles,Completed,2008
1530,Mosaica Senior Apartments,655,Alabama Street,94110,655 Alabama Street San Francisco CA 94110,-122.411921,37.760947,0.948,TNDC,24,0,Seniors,Completed,2009
1542,149 Mason Street Apartments,149,Mason St,94102,149 Mason St San Francisco CA 94102,-122.409456,37.784795,0.96,Glide,56,0,Singles,Completed,2009
1545,Hunters View Phase 1,112,Middle Point Rd,94124,112 Middle Point Rd San Francisco CA 94124,-122.37949,37.735366,0.888,Ridgepoint/Devine & Gong/John Stewart,107,0,Families,Completed,2011
1550,Zygmunt Arendt House,850,Broderick St,94115,850 Broderick St San Francisco CA 94115,-122.440028,37.77807,0.951,CHP,45,0,Singles,Completed,2010
1554,53 Columbus Avenue (Fong Building),53,Columbus St,94111,53 Columbus St San Francisco CA 94111,-122.403899,37.795953,0.88,San Francisco Community Land Trust,21,0,Singles & Families,Completed,2009
1555,Kelly Cullen Community,220,Golden Gate Ave,94102,220 Golden Gate Ave San Francisco CA 94102,-122.414159,37.781892,0.946,TNDC,174,0,Singles,Completed,2013
1564,Walden House,815,Buena Vista Ave West,94117,815 Buena Vista Ave West San Francisco CA 94117,-122.443196,37.769109,0.905,HealthRIGHT360,,108,Singles,Completed,2008
1585,St. Peter's Place,420,29th Ave,94121,420 29th Ave San Francisco CA 94121,-122.489059,37.781435,0.904,BHNC,19,0,Singles,Completed,2011
1597,Veterans Commons,150,Otis Street,94103,150 Otis Street San Francisco CA 94103,-122.420324,37.770894,0.953,Swords To Plowshares / CCDC,80,0,Singles,Completed,2012
1600,Excelsior Teen Center,4466-4468,Mission St,94112,4466-4468 Mission St San Francisco CA 94112,-122.433706,37.726245,0.858,BHNC,1,0,Families,Completed,2009
1619,Madonna Residence,350,Golden Gate Ave,94102,350 Golden Gate Ave San Francisco CA 94102,-122.416341,37.781548,0.946,Mercy Housing,69,0,Seniors,Completed,2013
1629,Vincentian Villa,1825,Mission St,94103,1825 Mission St San Francisco CA 94103,-122.419877,37.767888,0.955,Vincentian Villa Corporation,50,0,Seniors,Completed,1973
1632,Richardson Apartments (Parcel G),365,Fulton St,94102,365 Fulton St San Francisco CA 94102,-122.422546,37.778745,0.958,CHP,120,0,Singles,Completed,2001
1644,Chinook Family Apartments (TIHDI),1441,Chinook Ct,94130,1441 Chinook Ct San Francisco CA 94130,-122.374911,37.823668,0.955,Swords to Plowshares,12,0,Singles,Completed,2000
1793,WINSOR HOTEL,20,6th Street,94103,20 6th Street San Francisco CA 94103,-122.409702,37.781657,0.868,WINSOR HOTEL,4,0,Singles,Completed,2008
1794,HUNTER HOTEL,100,6th Street,94103,100 6th Street San Francisco CA 94103,-122.408709,37.780971,0.868,"PATEL, DIPAKBHAI",6,0,Singles,Completed,2009
1827,HILLSDALE HOTEL,51,6th Street,94103,51 6th Street San Francisco CA 94103,-122.409325,37.781489,0.868,PRIZE GROUP L.L.C. (ECS subleasse),75,0,Singles,Completed,2006
1828,Bayview Hill Gardens,1075,Le Conte AVE,94124,1075 Le Conte AVE San Francisco CA 94124,-122.398006,37.719061,0.951,Mercy Housing,72,0,Singles & Families,Completed,2013
1833,BALDWIN HOUSE HOTEL,72,Sixth Street,94103,72 Sixth Street San Francisco CA 94103,-122.409199,37.781244,0.854,SHAILENDRA DEVDHARA,10,0,Singles,Completed,2008
1837,AVALON AT MISSION BAY - TOWER 2,200,Berry Street,94158,200 Berry Street San Francisco CA 94158,-122.395577,37.774031,0.951,AVALONBAY COMMUNITIES INC.,19,0,Singles & Families,Completed,2006
1838,Mercy Terrace Apartments,333,Baker St,94117,333 Baker St San Francisco CA 94117,-122.441045,37.773928,0.96,Mercy Terrace Associates/Sisters of Mercy,158,0,Seniors,Completed,1983
1839,CRESCENT COVE,420,Berry St,94158,420 Berry St San Francisco CA 94158,-122.39826,37.771909,0.96,CCDC / MISSION BAY HOUSING PARTNERS,234,0,Singles & Families,Completed,2007
1840,Ceatrice Polite Apartments,321,Clementina St,94103,321 Clementina St San Francisco CA 94103,-122.401994,37.78205,0.949,TODCO,91,0,Seniors,Completed,2007
1843,Turk & Eddy Preservation Properties,249,Eddy St,94102,249 Eddy St San Francisco CA 94102,-122.411563,37.783966,0.963,TNDC,80,0,Singles,Completed,2010
1845,Rene Cazenave Apartments (Parcel 11A),25,Essex St,94105,25 Essex St San Francisco CA 94105,-122.395391,37.786229,0.805,CHP,120,0,singles,Completed,2013
1848,FILLMORE CENTER,1475,Fillmore Street,94115,1475 Fillmore Street San Francisco CA 94115,-122.432587,37.783123,0.831,ELKOR REALTY CORPORATION,223,0,Singles,Completed,2000
1850,PARK HOTEL,1040,Folsom St,94103,1040 Folsom St San Francisco CA 94103,-122.406535,37.777864,0.958,PARK HOTEL,10,0,Singles,Completed,2009
1851,BANNEKER HOMES,745,Fulton St,94102,745 Fulton St San Francisco CA 94102,-122.429152,37.778006,0.958,BANNEKER HOMES INC.,108,0,Families,Completed,2008
1854,RINCON CENTER,88,HOWARD ST,94105,88 HOWARD ST San Francisco CA 94105,-122.392249,37.791509,0.958,"Carmel Partners, Inc (BRE/RINCON, LLC)",76,0,Singles,Completed,1989
1858,AVALON AT MISSION BAY - TOWER 1,255,KING ST,94107,255 KING ST San Francisco CA 94107,-122.392632,37.776996,0.963,AVALONBAY COMMUNITIES INC.,21,0,Families,Completed,2003
1861,MISSION PLAZA APARTMENTS,2027,Mission St,94110,2027 Mission St San Francisco CA 94110,-122.419561,37.764626,0.955,MISSION PLAZA APARTMENTS,132,0,Singles & Families,Completed,1981
1862,OCTAVIA COURT,261,OCTAVIA ST,94102,261 OCTAVIA ST San Francisco CA 94102,-122.424048,37.774331,0.833,WEST BAY HOUSING CORPORATION/SATELLITE HOUSING,15,0,Singles,Completed,2010
1866,KAISER HOUSING,2139,OFarrell,94115,2139 OFarrell San Francisco CA 94115,-122.439796,37.782294,0.88,KAISER FOUNDATION HOSPITALS,21,0,Families,Completed,2010
1867,YERBA BUENA COMMONS,88,Perry Street,94107,88 Perry Street San Francisco CA 94107,-122.395951,37.782808,0.96,AMB PROPERTIES II,51,0,Singles,Completed,1997
1877,NIHONMACHI TERRACE,1615,Sutter St,94109,1615 Sutter St San Francisco CA 94109,-122.426844,37.786821,0.958,JAPANESE AMERICAN RELIGIOUS,245,0,Singles & Families & Seniors,Completed,2010
1879,Vintage Coventry,1550,Sutter Street,94109,1550 Sutter Street San Francisco CA 94109,-122.425712,37.787099,0.958,"1550 SUTTER ASSOCIATES, LP",34,0,Seniors,Completed,1998
1880,SOUTH BEACH MARINA APARTMENTS,2,TOWNSEND ST,94107,2 TOWNSEND ST San Francisco CA 94107,-122.38834,37.781797,0.953,SOUTH BEACH MARINA INC.,83,0,Singles & Families,Completed,1989
1883,THOMAS PAINE SQUARE,1157,Turk St,94115,1157 Turk St San Francisco CA 94115,-122.427878,37.780945,0.963,BETHEL AFRICAN METHODIST EPISCOPAL CHURCH,98,0,Families,Completed,1981
1888,PARKVIEW TERRACE (Parcel A),871-881,TURK ST,94102,871-881 TURK ST San Francisco CA 94102,-122.423349,37.781499,0.865,CCDC / AF EVANS,100,0,Seniors,Completed,2008
1894,THE AVENUE (ASSISTED LIVING),1019,Van Ness Avenue,94109,1019 Van Ness Avenue San Francisco CA 94109,-122.421442,37.785244,0.946,"SAN FRANCISCO CARE CENTER, LP",25,0,Seniors,Completed,2004
1921,BAYSIDE VILLAGE,3,BAYSIDE VILLAGE PLACE,94107,3 BAYSIDE VILLAGE PLACE San Francisco CA 94107,-122.390574,37.784185,0.939,BAYSIDE VILLAGE ASSOCIATES,174,0,Singles & Families,Completed,1988
2001,125 Mason ST,125,Mason ST,94102,125 Mason ST San Francisco CA 94102,-122.40942,37.784566,0.96,Glide,81,0,Families,Completed,2008
1546,1500 Page Street,1500,Page St,94117,1500 Page St San Francisco CA 94117,-122.445535,37.771142,0.963,Mercy,15,0,Disabled Singles,Predevelopment,
1553,1036 Mission Family Housing,1036,Mission St,94103,1036 Mission St San Francisco CA 94103,-122.409409,37.780378,0.955,TNDC,100,0,Families,Predevelopment,
1565,Eddy & Taylor Family Housing,168,Eddy St,94102,168 Eddy St San Francisco CA 94102,-122.410395,37.784282,0.963,TNDC,153,0,Families,Predevelopment,
1584,Rosa Parks II Senior Housing,1239,Turk St,94115,1239 Turk St San Francisco CA 94115,-122.429194,37.780778,0.963,TNDC (formerly CHC),98,0,Seniors,Predevelopment,
1594,Westside Courts Public Housing,2501,Sutter ST,94115,2501 Sutter ST San Francisco CA 94115,-122.441537,37.785036,0.958,EM Johnson,220,0,Families,Predevelopment,
1598,Potrero Terrace & Potrero Annex,1095,Connecticut ST,94107,1095 Connecticut ST San Francisco CA 94107,-122.396435,37.752366,0.948,Bridge / SFHA / HOPE SF,1000,0,Families,Predevelopment,
1599,Sunnydale Public Housing,1652,Sunnydale AVE,94134,1652 Sunnydale AVE San Francisco CA 94134,-122.417696,37.712388,0.949,Mercy / Related Companies of CA / SFHA / HOPE SF,1006,0,Singles & Families,Predevelopment,
1602,5th & Howard Family Apartments,909,Howard ST,94103,909 Howard ST San Francisco CA 94103,-122.405026,37.781301,0.958,TNDC,60,0,Families,Predevelopment,
1607,800 Presidio,800,Presidio Ave,94115,800 Presidio Ave San Francisco CA 94115,-122.446247,37.784438,0.951,Booker T. Washington Community Service Ctr / JSCo,50,0,Singles,Predevelopment,
1643,55 Laguna Senior Housing,55,Laguna Street,94102,55 Laguna Street San Francisco CA 94102,-122.425235,37.771015,0.949,Mercy Housing,110,0,Seniors,Predevelopment,
1825,CARROLL AVENUE SENIOR HOUSING,5800,3rd ST,94124,5800 3rd ST San Francisco CA 94124,-122.394243,37.725476,0.884,McCormack Baron Salazar / BHP Multi Senior Svcs,120,0,Seniors,Predevelopment,
1832,HUGO HOTEL,200,6th Street,94103,200 6th Street San Francisco CA 94103,-122.407159,37.779739,0.868,MERCY HOUSING CALIFORNIA,56,0,,Predevelopment,
1846,Central Freeway Parcel O,427,Fell Street,94102,427 Fell Street San Francisco CA 94102,-122.424765,37.775608,0.953,CCSF,80,0,,Predevelopment,
1849,Transbay Block 6 & 7,256,Folsom ST,94105,256 Folsom ST San Francisco CA 94105,-122.392302,37.789032,0.958,,147,0,,Predevelopment,
1860,Transbay Block 1,235,Main ST,94105,235 Main ST San Francisco CA 94105,-122.39293,37.790234,0.963,K.T. Park Corporation,143,0,,Predevelopment,
1917,HUNTERS VIEW- PHASE 2,112,Middle Point RD,94124,112 Middle Point RD San Francisco CA 94124,-122.37949,37.735366,0.888,Ridgepoint/Devine & Gong/John Stewart,91,0,Families,Predevelopment,
1918,HUNTERS VIEW PHASE 3,112,Middle Point RD,94124,112 Middle Point RD San Francisco CA 94124,-122.37949,37.735366,0.888,Ridgepoint/Devine & Gong/John Stewart,98,0,,Predevelopment,
1998,Block 7 Mission Bay South,1301,4th Street,94158,1301 4th Street San Francisco CA 94158,-122.391267,37.772013,manual,CCDC / Related Companies,200,0,Families,Predevelopment,
2002,227 Bay Street,227,Bay Street,94133,227 Bay Street San Francisco CA 94133,-122.410643,37.8059,0.955,CCDC,49,0,Seniors,Predevelopment,
1586,Broadway & Sansome Family Housing,235,Broadway Street,94133,235 Broadway Street San Francisco CA 94133,-122.401337,37.798458,0.946,CCDC,75,0,Families,Construction,
1601,Vera Halle Senior Housing (aka 121 Golden Gate),121,Golden Gate AVE,94102,121 Golden Gate AVE San Francisco CA 94102,-122.412448,37.78196,0.849,Mercy / St Anthony's,90,0,Seniors,Construction,
1606,Edward II,3151-3155,Scott Street,94123,3151-3155 Scott Street San Francisco CA 94123,-122.44095,37.798801,0.854,CHP,25,0,singles,Construction,
1620,Phelan Loop Affordable Housing,1100,Ocean Avenue,94112,1100 Ocean Avenue San Francisco CA 94112,-122.454116,37.723456,0.829,BHNC,70,0,Familes,Construction,
1826,1180 FOURTH STREET,1180,4th Street,94158,1180 4th Street San Francisco CA 94158,-122.391933,37.774037,manual,MERCY HOUSING,149,0,Singles & Families,Construction,
