Year,Permanent Removal,Temporary Removal
1997,1289,63
1998,1702,34
1999,1345,59
2000,1358,90
2001,1093,55
2002,799,65
2003,595,74
2004,715,48
2005,626,89
2006,531,82
2007,460,56
2008,401,28
2009,201,24
2010,228,22
2011,214,46
2012,316,28
2013,637,37
2014,295,24
