Year,Fault Eviction Notices,No Fault Eviction Notices
1997,1071,1457
1998,1042,1818
1999,1053,1553
2000,925,1599
2001,881,1275
2002,677,952
2003,782,731
2004,613,828
2005,779,760
2006,806,667
2007,935,545
2008,954,458
2009,919,255
2010,945,396
2011,993,290
2012,998,625
2013,1146,727
2014,644,333
