Year,Number of Eviction Notices
1997,2528
1998,2860
1999,2606
2000,2524
2001,2156
2002,1629
2003,1513
2004,1441
2005,1539
2006,1473
2007,1480
2008,1412
2009,1174
2010,1341
2011,1283
2012,1623
2013,1873
2014,977
