Decades,Estimate of Structures,MOE
1939 or earlier,183387,2177
1940 to 1949,39826,1531
1950 to 1959,35382,1431
1960 to 1969,30249,1187
1970 to 1979,26717,1139
1980 to 1989,19928,1095
1990 to 1999,16129,855
2000 to 2009,23721,964
2010 to 2012,522,162
