Status,1-2 Units,3-10 Units,11-49 Units,50-250 Units,Above 250 Units
Filed with Planning,30,141,662,2058,2457
Approved by Planning,12,59,417,2272,398
Building Permit Filed,239,278,454,1590,1412
Building Permit Approved/Issued/Re-Instated,104,145,202,1758,1912
Construction,129,179,450,2133,3842
