GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent,Margin of Error; Median gross rent
0500000US06001,06001,"Alameda County, California",1198,15
0500000US06007,06007,"Butte County, California",862,31
0500000US06013,06013,"Contra Costa County, California",1283,34
0500000US06017,06017,"El Dorado County, California",1098,67
0500000US06019,06019,"Fresno County, California",825,22
0500000US06023,06023,"Humboldt County, California",810,46
0500000US06025,06025,"Imperial County, California",733,43
0500000US06029,06029,"Kern County, California",821,21
0500000US06031,06031,"Kings County, California",824,24
0500000US06033,06033,"Lake County, California",842,82
0500000US06037,06037,"Los Angeles County, California",1147,7
0500000US06039,06039,"Madera County, California",877,41
0500000US06041,06041,"Marin County, California",1510,77
0500000US06045,06045,"Mendocino County, California",952,42
0500000US06047,06047,"Merced County, California",807,52
0500000US06053,06053,"Monterey County, California",1157,36
0500000US06055,06055,"Napa County, California",1186,64
0500000US06057,06057,"Nevada County, California",976,147
0500000US06059,06059,"Orange County, California",1402,13
0500000US06061,06061,"Placer County, California",1114,59
0500000US06065,06065,"Riverside County, California",1121,22
0500000US06067,06067,"Sacramento County, California",980,16
0500000US06071,06071,"San Bernardino County, California",1035,23
0500000US06073,06073,"San Diego County, California",1249,14
0500000US06075,06075,"San Francisco County, California",1385,33
0500000US06077,06077,"San Joaquin County, California",995,33
0500000US06079,06079,"San Luis Obispo County, California",1137,43
0500000US06081,06081,"San Mateo County, California",1447,28
0500000US06083,06083,"Santa Barbara County, California",1267,53
0500000US06085,06085,"Santa Clara County, California",1418,21
0500000US06087,06087,"Santa Cruz County, California",1284,69
0500000US06089,06089,"Shasta County, California",885,51
0500000US06095,06095,"Solano County, California",1201,39
0500000US06097,06097,"Sonoma County, California",1204,28
0500000US06099,06099,"Stanislaus County, California",978,33
0500000US06101,06101,"Sutter County, California",791,51
0500000US06107,06107,"Tulare County, California",798,34
0500000US06111,06111,"Ventura County, California",1381,47
0500000US06113,06113,"Yolo County, California",1056,62
0500000US06115,06115,"Yuba County, California",807,80
